"groep_100","groep_titel","soort_id","euring_code","soort_naam","msi_variant"
900,"Vogels van bebouwing/overige",152,9920,"Boerenzwaluw","volledig"
900,"Vogels van bebouwing/overige",205,13490,"Bonte Vliegenvanger","volledig"
900,"Vogels van bebouwing/overige",136,7950,"Gierzwaluw","volledig"
900,"Vogels van bebouwing/overige",122,6680,"Holenduif","volledig"
900,"Vogels van bebouwing/overige",231,15910,"Huismus","volledig"
900,"Vogels van bebouwing/overige",224,15600,"Kauw","volledig"
900,"Vogels van bebouwing/overige",128,7350,"Kerkuil","volledig"
900,"Vogels van bebouwing/overige",127,7240,"Koekoek","volledig"
900,"Vogels van bebouwing/overige",232,15980,"Ringmus","volledig"
900,"Vogels van bebouwing/overige",229,15820,"Spreeuw","volledig"
900,"Vogels van bebouwing/overige",124,6840,"Turkse Tortel","volledig"
900,"Vogels van bebouwing/overige",162,10201,"Witte Kwikstaart","volledig"
900,"Vogels van bebouwing/overige",169,11210,"Zwarte Roodstaart","volledig"
100,"Watervogels",29,1730,"Bergeend","robuust"
100,"Watervogels",1,70,"Dodaars","robuust"
100,"Watervogels",2,90,"Fuut","robuust"
100,"Watervogels",4,120,"Geoorde Fuut","robuust"
100,"Watervogels",17,1520,"Knobbelzwaan","robuust"
100,"Watervogels",34,1820,"Krakeend","robuust"
100,"Watervogels",44,2030,"Kuifeend","robuust"
100,"Watervogels",78,4290,"Meerkoet","robuust"
100,"Watervogels",27,1700,"Nijlgans","robuust"
100,"Watervogels",151,9810,"Oeverzwaluw","robuust"
100,"Watervogels",40,1940,"Slobeend","robuust"
100,"Watervogels",42,1980,"Tafeleend","robuust"
100,"Watervogels",77,4240,"Waterhoen","robuust"
100,"Watervogels",36,1860,"Wilde Eend","robuust"
100,"Watervogels",35,1840,"Wintertaling","robuust"
100,"Watervogels",39,1910,"Zomertaling","robuust"
200,"Rietvogels",188,12510,"Kleine Karekiet","robuust"
200,"Rietvogels",251,18770,"Rietgors","robuust"
200,"Rietvogels",186,12430,"Rietzanger","robuust"
200,"Rietvogels",182,12360,"Sprinkhaanrietzanger","robuust"
200,"Rietvogels",77,4240,"Waterhoen","robuust"
200,"Rietvogels",72,4070,"Waterral","robuust"
300,"Vogels van pionierbegroeiingen",29,1730,"Bergeend","robuust"
300,"Vogels van pionierbegroeiingen",148,9740,"Boomleeuwerik","robuust"
300,"Vogels van pionierbegroeiingen",158,10171,"Gele Kwikstaart","robuust"
300,"Vogels van pionierbegroeiingen",156,10110,"Graspieper","robuust"
300,"Vogels van pionierbegroeiingen",122,6680,"Holenduif","robuust"
300,"Vogels van pionierbegroeiingen",224,15600,"Kauw","robuust"
300,"Vogels van pionierbegroeiingen",88,4930,"Kievit","robuust"
300,"Vogels van pionierbegroeiingen",107,5910,"Kleine Mantelmeeuw","robuust"
300,"Vogels van pionierbegroeiingen",84,4690,"Kleine Plevier","robuust"
300,"Vogels van pionierbegroeiingen",151,9810,"Oeverzwaluw","robuust"
300,"Vogels van pionierbegroeiingen",171,11370,"Paapje","robuust"
300,"Vogels van pionierbegroeiingen",80,4500,"Scholekster","robuust"
300,"Vogels van pionierbegroeiingen",106,5900,"Stormmeeuw","robuust"
300,"Vogels van pionierbegroeiingen",173,11460,"Tapuit","robuust"
300,"Vogels van pionierbegroeiingen",150,9760,"Veldleeuwerik","robuust"
300,"Vogels van pionierbegroeiingen",162,10201,"Witte Kwikstaart","robuust"
300,"Vogels van pionierbegroeiingen",97,5410,"Wulp","robuust"
300,"Vogels van pionierbegroeiingen",108,5920,"Zilvermeeuw","robuust"
400,"Vogels van open heide",29,1730,"Bergeend","robuust"
400,"Vogels van open heide",158,10171,"Gele Kwikstaart","robuust"
400,"Vogels van open heide",156,10110,"Graspieper","robuust"
400,"Vogels van open heide",88,4930,"Kievit","robuust"
400,"Vogels van open heide",171,11370,"Paapje","robuust"
400,"Vogels van open heide",80,4500,"Scholekster","robuust"
400,"Vogels van open heide",98,5460,"Tureluur","robuust"
400,"Vogels van open heide",150,9760,"Veldleeuwerik","robuust"
400,"Vogels van open heide",97,5410,"Wulp","robuust"
500,"Weidevogels",158,10171,"Gele Kwikstaart","robuust"
500,"Weidevogels",156,10110,"Graspieper","robuust"
500,"Weidevogels",88,4930,"Kievit","robuust"
500,"Weidevogels",34,1820,"Krakeend","robuust"
500,"Weidevogels",171,11370,"Paapje","robuust"
500,"Weidevogels",80,4500,"Scholekster","robuust"
500,"Weidevogels",40,1940,"Slobeend","robuust"
500,"Weidevogels",98,5460,"Tureluur","robuust"
500,"Weidevogels",150,9760,"Veldleeuwerik","robuust"
500,"Weidevogels",36,1860,"Wilde Eend","robuust"
500,"Weidevogels",35,1840,"Wintertaling","robuust"
500,"Weidevogels",97,5410,"Wulp","robuust"
500,"Weidevogels",39,1910,"Zomertaling","robuust"
600,"Struweelvogels",187,12500,"Bosrietzanger","robuust"
600,"Struweelvogels",192,12740,"Braamsluiper","robuust"
600,"Struweelvogels",200,13120,"Fitis","robuust"
600,"Struweelvogels",246,17100,"Goudvink","robuust"
600,"Struweelvogels",193,12750,"Grasmus","robuust"
600,"Struweelvogels",219,15150,"Grauwe Klauwier","robuust"
600,"Struweelvogels",165,10840,"Heggenmus","robuust"
600,"Struweelvogels",239,16600,"Kneu","robuust"
600,"Struweelvogels",209,14420,"Matkop","robuust"
600,"Struweelvogels",175,11870,"Merel","robuust"
600,"Struweelvogels",167,11040,"Nachtegaal","robuust"
600,"Struweelvogels",171,11370,"Paapje","robuust"
600,"Struweelvogels",251,18770,"Rietgors","robuust"
600,"Struweelvogels",166,10990,"Roodborst","robuust"
600,"Struweelvogels",172,11390,"Roodborsttapuit","robuust"
600,"Struweelvogels",190,12590,"Spotvogel","robuust"
600,"Struweelvogels",182,12360,"Sprinkhaanrietzanger","robuust"
600,"Struweelvogels",207,14370,"Staartmees","robuust"
600,"Struweelvogels",125,6870,"Tortelduif","robuust"
600,"Struweelvogels",194,12760,"Tuinfluiter","robuust"
600,"Struweelvogels",164,10660,"Winterkoning","robuust"
600,"Struweelvogels",177,12000,"Zanglijster","robuust"
600,"Struweelvogels",195,12770,"Zwartkop","robuust"
700,"Bosrandvogels",240,16630,"Barmsijs","robuust"
700,"Bosrandvogels",148,9740,"Boomleeuwerik","robuust"
700,"Bosrandvogels",155,10090,"Boompieper","robuust"
