"groep_100","jaar","groep_titel","log_index","n_soorten","msi","msi_variant","periode","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,1991,"Watervogels",6.11070458407345,14,450.65612846303,"robuust","1984-2025","post",6.11070458407345,5.87893813689248,0.0946976569726157,357.429498928657,296.880805280317,430.327068749909
100,1992,"Watervogels",6.30686254490442,14,548.321911873514,"robuust","1984-2025","post",6.30686254490442,5.84931077564995,0.0942659552400631,346.995140543,288.45800248605,417.411292190721
100,1993,"Watervogels",6.24002580884371,14,512.87174739879,"robuust","1984-2025","post",6.24002580884371,5.81003346856529,0.094082577214151,333.63029161491,277.447469793401,401.190075966221
100,1994,"Watervogels",6.07299190606973,14,433.977160035702,"robuust","1984-2025","post",6.07299190606973,5.76126219847853,0.0941002081313907,317.749138393119,264.231546954517,382.106209925602
100,1995,"Watervogels",5.44693491987346,15,232.045835711291,"robuust","1984-2025","post",5.44693491987346,5.70366023762287,0.0941793669291518,299.963331131193,249.402654925963,360.774026443433
100,1996,"Watervogels",5.65630541230839,15,286.089704090655,"robuust","1984-2025","post",5.65630541230839,5.63840306449694,0.0940917505074252,281.013599369927,233.687144974054,337.924634406441
100,1997,"Watervogels",5.31070003878385,15,202.491930988812,"robuust","1984-2025","post",5.31070003878385,5.56714781295043,0.0936270280117444,261.686654533818,217.813422893679,314.397084676131
100,1998,"Watervogels",5.23209494965055,15,187.184535224457,"robuust","1984-2025","post",5.23209494965055,5.49196700655438,0.0927167486977137,242.734197339597,202.399239320204,291.107272715016
100,1999,"Watervogels",5.2759139535089,15,195.569135954942,"robuust","1984-2025","post",5.2759139535089,5.41524910663256,0.0915052562291303,224.808540002418,187.89791394654,268.969881551735
100,2000,"Watervogels",5.73356981369315,14,309.070625939786,"robuust","1984-2025","post",5.73356981369315,5.33957112514619,0.090328789922969,208.423303604464,174.605072813337,248.791588843691
100,2001,"Watervogels",5.7170526641209,14,304.007588759979,"robuust","1984-2025","post",5.7170526641209,5.26755099766816,0.0895953678861687,193.940419840168,162.705867456044,231.171051393965
100,2002,"Watervogels",4.93016206378952,15,138.401940465467,"robuust","1984-2025","post",4.93016206378952,5.20168936486373,0.0896002749251495,181.578735648356,152.333595923374,216.438383403229
100,2003,"Watervogels",5.11368894265806,15,166.282631946168,"robuust","1984-2025","post",5.11368894265806,5.14421169363438,0.0903639665483393,171.436287073102,143.609573066359,204.654884057279
100,2004,"Watervogels",4.714015297729,14,111.498963816229,"robuust","1984-2025","post",4.714015297729,5.09692215036161,0.0915919659121321,163.517848638135,136.647128303061,195.67251178483
100,2005,"Watervogels",4.52424032597161,15,92.2258376363402,"robuust","1984-2025","post",4.52424032597161,5.06108024842395,0.0927873182749442,157.760845212449,131.527651174592,189.226250601167
100,2006,"Watervogels",4.60096912770789,14,99.5807753820762,"robuust","1984-2025","post",4.60096912770789,5.03731002875195,0.0934513098988685,154.0550534943,128.271031812957,185.02197395386
100,2007,"Watervogels",5.45202338698038,14,233.229602538665,"robuust","1984-2025","post",5.45202338698038,5.02554946450136,0.0932784757772226,152.25389124173,126.814279748821,182.796822598869
100,2008,"Watervogels",5.40357956608064,14,222.200375268367,"robuust","1984-2025","post",5.40357956608064,5.02504504444447,0.0922845517586278,152.1771106917,126.997490065251,182.34906065132
100,2009,"Watervogels",4.89219800960174,15,133.246128684797,"robuust","1984-2025","post",4.89219800960174,5.03439327699157,0.0908378521681899,153.606367816293,128.554261892656,183.540521226875
100,2010,"Watervogels",5.52180434922848,14,250.085872586385,"robuust","1984-2025","post",5.52180434922848,5.05162740310062,0.0895695973098002,156.276582649124,131.114500672136,186.267500232937
100,2011,"Watervogels",4.99901258744799,14,148.266686412783,"robuust","1984-2025","post",4.99901258744799,5.07434417130752,0.089147293905592,159.86731202129,134.238151868041,190.389670129219
100,2012,"Watervogels",4.69262305312318,15,109.139082285444,"robuust","1984-2025","post",4.69262305312318,5.09986237497105,0.0899611114118248,163.99933533343,137.488268931329,195.622377086154
100,2013,"Watervogels",5.23947422096499,14,188.570929695038,"robuust","1984-2025","post",5.23947422096499,5.12540222608065,0.0918849137712265,168.241799283628,140.514093744125,201.441024682806
100,2014,"Watervogels",5.06177602134788,14,157.87064913187,"robuust","1984-2025","post",5.06177602134788,5.1482727489817,0.0942835227712518,172.133914917306,143.090463817172,207.072392347663
100,2015,"Watervogels",5.53290209792247,13,252.87672017149,"robuust","1984-2025","post",5.53290209792247,5.16605337264012,0.0962667065781595,175.22193538601,145.092377786227,211.608129309557
100,2016,"Watervogels",4.95660534368474,15,142.110559641789,"robuust","1984-2025","post",4.95660534368474,5.1767558637108,0.0970378836801167,177.107317732269,146.432066600298,214.208559112522
100,2017,"Watervogels",5.16176502523035,13,174.472131711654,"robuust","1984-2025","post",5.16176502523035,5.17895367913649,0.0962154279493148,177.496994989668,146.991011750636,214.33407971781
100,2018,"Watervogels",5.01737824308719,13,151.014860078263,"robuust","1984-2025","post",5.01737824308719,5.17186765073676,0.0941058778482318,176.243691956959,146.557835211703,211.942533879205
100,2019,"Watervogels",5.43311884521968,13,228.861918388109,"robuust","1984-2025","post",5.43311884521968,5.15539949351199,0.091927122229014,173.365051139759,144.781011303143,207.592423109694
100,2020,"Watervogels",5.23292546660453,15,187.340059728412,"robuust","1984-2025","post",5.23292546660453,5.13010773581684,0.0918368862426468,169.035328223087,141.190132402371,202.372090041377
100,2021,"Watervogels",5.04410370197017,15,155.105216377986,"robuust","1984-2025","post",5.04410370197017,5.097124032623,0.0963714575260898,163.550863323623,135.400354124769,197.554024631677
100,2022,"Watervogels",4.80894674534638,14,122.602417921951,"robuust","1984-2025","post",4.80894674534638,5.05801113813736,0.107182454582658,157.277402029289,127.476690357003,194.04473962893
100,2023,"Watervogels",5.64812264362917,12,283.758250103955,"robuust","1984-2025","post",5.64812264362917,5.01456676224227,0.124165859103524,150.590880975693,118.061028140237,192.083821310603
100,2024,"Watervogels",5.17577252746324,12,176.93324728595,"robuust","1984-2025","post",5.17577252746324,4.96857980350746,0.145948065577462,143.822486070004,108.042167957924,191.452169928801
100,2025,"Watervogels",4.285691949285,15,72.6528013848812,"robuust","1984-2025","post",4.285691949285,4.92154675049919,0.170903128910921,137.214686016403,98.1578225831905,191.812222022581
200,1958,"Rietvogels",4.60517018598809,3,100,"robuust","1958-1983","pre",4.60517018598809,4.84619868500896,0.0975148144595948,127.255730142854,105.116540971028,154.057779152515
200,1959,"Rietvogels",5.65035625218811,4,284.392763323339,"robuust","1958-1983","pre",5.65035625218811,4.91017789772921,0.0918429404537552,135.663546498738,113.314340881305,162.420728969282
200,1960,"Rietvogels",5.16773476339474,5,175.516799749815,"robuust","1958-1983","pre",5.16773476339474,4.97415710949446,0.0863169911676846,144.626869142776,122.116536596359,171.286640294917
200,1961,"Rietvogels",4.41121344448454,5,82.369353524177,"robuust","1958-1983","pre",4.41121344448454,5.03813631889952,0.0809668488406552,154.182400272634,131.557141738884,180.69876131099
200,1962,"Rietvogels",5.07440714682376,5,159.877380064811,"robuust","1958-1983","pre",5.07440714682376,5.10211552419363,0.0758297281664294,164.369266907358,141.66842004776,190.707681320609
