"group_code","groep_titel","soort_id","euring_code","soort_naam","classification","binary_membership","membership_weight","analysis_mode","msi_variant"
"fg_v1_holenbroed","Holenbroeders",143,8630,"Zwarte Specht","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",168,11060,"Blauwborst","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",152,9920,"Boerenzwaluw","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",205,13490,"Bonte Vliegenvanger","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",155,10090,"Boompieper","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",66,3100,"Boomvalk","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",187,12500,"Bosrietzanger","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",192,12740,"Braamsluiper","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",141,8480,"Draaihals","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",200,13120,"Fitis","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",197,13080,"Fluiter","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",170,11220,"Gekraagde Roodstaart","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",158,10171,"Gele Kwikstaart","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",136,7950,"Gierzwaluw","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",193,12750,"Grasmus","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",219,15150,"Grauwe Klauwier","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",203,13350,"Grauwe Vliegenvanger","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",189,12530,"Grote Karekiet","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",188,12510,"Kleine Karekiet","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",84,4690,"Kleine Plevier","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",127,7240,"Koekoek","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",70,3700,"Kwartel","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",167,11040,"Nachtegaal","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",135,7780,"Nachtzwaluw","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",151,9810,"Oeverzwaluw","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",171,11370,"Paapje","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",186,12430,"Rietzanger","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",40,1940,"Slobeend","secondary",1,0.5,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",184,12380,"Snor","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",190,12590,"Spotvogel","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",182,12360,"Sprinkhaanrietzanger","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",125,6870,"Tortelduif","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",194,12760,"Tuinfluiter","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",98,5460,"Tureluur","secondary",1,0.5,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",116,6150,"Visdief","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",93,5190,"Watersnip","secondary",1,0.5,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",53,2310,"Wespendief","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",218,15080,"Wielewaal","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",8,980,"Woudaap","primary",1,1,"binair","volledig"
"fg_v1_lange_trek","Langeafstandstrekkers",39,1910,"Zomertaling","primary",1,1,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",152,9920,"Boerenzwaluw","primary",1,1,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",205,13490,"Bonte Vliegenvanger","primary",1,1,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",66,3100,"Boomvalk","primary",1,1,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",197,13080,"Fluiter","secondary",1,0.5,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",136,7950,"Gierzwaluw","primary",1,1,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",201,13140,"Goudhaan","secondary",1,0.5,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",219,15150,"Grauwe Klauwier","secondary",1,0.5,"binair","volledig"
"fg_v1_lucht","Luchtfoerageerders",203,13350,"Grauwe Vliegenvanger","primary",1,1,"binair","volledig"
