"groep_100","jaar","groep_titel","log_index","n_soorten","msi","periode","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
200,2023,"Rietvogels",5.17100787689529,21,176.092227362868,"Landelijk",5.17100787689529,5.26943735412048,0.0298359620062571,194.306605872608,183.26970553271,206.008172359914
200,2024,"Rietvogels",5.35821761253011,21,212.346125873277,"Landelijk",5.35821761253011,5.2932621729982,0.0373887347731526,198.991512487472,184.93053218234,214.121603256995
300,1990,"Vogels van pionierbegroeiingen",4.60517018598809,42,100,"Landelijk",4.60517018598809,4.54222927834138,0.0403149980770146,93.8998959707978,86.7657433682184,101.620641062315
300,1991,"Vogels van pionierbegroeiingen",4.45053380760114,41,85.6726645176647,"Landelijk",4.45053380760114,4.54593840879883,0.0304607804956393,94.2488296551306,88.7865592750909,100.047146368627
300,1992,"Vogels van pionierbegroeiingen",4.59648733406742,41,99.1354735171677,"Landelijk",4.59648733406742,4.55131532334718,0.0245997475600857,94.7569624274893,90.2966009648686,99.4376513904218
300,1993,"Vogels van pionierbegroeiingen",4.54421205395223,43,94.0862630954278,"Landelijk",4.54421205395223,4.56001038597783,0.0232438506348138,95.5844725631242,91.32754490268,100.039822650511
300,1994,"Vogels van pionierbegroeiingen",4.57637993615438,42,97.162024060185,"Landelijk",4.57637993615438,4.57283905430677,0.0238054742673231,96.8185931957937,92.4049293106728,101.443072986907
300,1995,"Vogels van pionierbegroeiingen",4.55267732341453,43,94.8861093457884,"Landelijk",4.55267732341453,4.58915377923077,0.0238876960789638,98.4111173849628,93.9097199701398,103.128281375308
300,1996,"Vogels van pionierbegroeiingen",4.5727270338584,42,96.8077481410191,"Landelijk",4.5727270338584,4.60676151693284,0.0232092871269169,100.159259778373,95.7050737374776,104.820746984318
300,1997,"Vogels van pionierbegroeiingen",4.5996009984069,43,99.4446291595151,"Landelijk",4.5996009984069,4.62235938451917,0.0226642299860442,101.733778293217,97.3134774264799,106.354863884427
300,1998,"Vogels van pionierbegroeiingen",4.66727031106803,43,106.406887937616,"Landelijk",4.66727031106803,4.63233997376017,0.0227983208743398,102.754225206309,98.2637573481287,107.449898952494
300,1999,"Vogels van pionierbegroeiingen",4.6675002339492,44,106.431356128658,"Landelijk",4.6675002339492,4.63372942952583,0.0231685863590603,102.897096890925,98.3290001335295,107.677414945767
300,2000,"Vogels van pionierbegroeiingen",4.72679626037554,43,112.933173675725,"Landelijk",4.72679626037554,4.62499480561921,0.0231361986477779,102.002243242831,97.4800611699439,106.734213147762
300,2001,"Vogels van pionierbegroeiingen",4.66757299696018,43,106.439100676346,"Landelijk",4.66757299696018,4.60650140843132,0.0227159052497427,100.133210891314,95.7727534853384,104.692196460023
300,2002,"Vogels van pionierbegroeiingen",4.52408010918563,43,92.2110626926781,"Landelijk",4.52408010918563,4.58050303191038,0.0224640362816995,97.563459398705,93.3609833492487,101.955102317583
300,2003,"Vogels van pionierbegroeiingen",4.49520752349448,42,89.5867584133723,"Landelijk",4.49520752349448,4.55067828940434,0.0226940761327874,94.6966182487882,90.5767810302313,99.0038440951409
300,2004,"Vogels van pionierbegroeiingen",4.48796939725573,42,88.9406592411254,"Landelijk",4.48796939725573,4.521347200652,0.0230554799698455,91.9594023315573,87.8963658689618,96.2102539004223
300,2005,"Vogels van pionierbegroeiingen",4.5749361149388,42,97.0218406927106,"Landelijk",4.5749361149388,4.49658020476353,0.0230532652018327,89.7098169193312,85.7465459671182,93.8562732869272
300,2006,"Vogels van pionierbegroeiingen",4.47054163310877,42,87.4040511229776,"Landelijk",4.47054163310877,4.47942700017146,0.0227003358014861,88.1841287055631,84.3465866783368,92.1962685368106
300,2007,"Vogels van pionierbegroeiingen",4.36279081572063,44,78.4758407065986,"Landelijk",4.36279081572063,4.47144434654399,0.0224814385505853,87.4829875573478,83.7118652731918,91.4239945195675
300,2008,"Vogels van pionierbegroeiingen",4.47421767341644,43,87.7259432196358,"Landelijk",4.47421767341644,4.47260800362521,0.022700335801486,87.5848470085476,83.7733841492193,91.5697211401502
300,2009,"Vogels van pionierbegroeiingen",4.46877204922614,43,87.2495190918548,"Landelijk",4.46877204922614,4.48158443692891,0.0230532652018324,88.3745857619089,84.4703037034696,92.4593267239335
300,2010,"Vogels van pionierbegroeiingen",4.44989813977423,42,85.6182224665488,"Landelijk",4.44989813977423,4.49624551982262,0.0230554799698452,89.6797974183742,85.717480595617,93.8252735511672
300,2011,"Vogels van pionierbegroeiingen",4.60715256702213,42,100.198434725037,"Landelijk",4.60715256702213,4.51425952518185,0.0226940761327872,91.3099282809171,87.3374311853273,95.4631123163481
300,2012,"Vogels van pionierbegroeiingen",4.60692696941351,43,100.175832747347,"Landelijk",4.60692696941351,4.53359489460139,0.0224640362816996,93.0926184232854,89.0827206427417,97.2830145102841
300,2013,"Vogels van pionierbegroeiingen",4.47711213197802,43,87.980230161035,"Landelijk",4.47711213197802,4.5528233048583,0.0227159052497427,94.899961968113,90.7673945780605,99.2206818694577
300,2014,"Vogels van pionierbegroeiingen",4.59969068799911,43,99.4535487077421,"Landelijk",4.59969068799911,4.57118529132434,0.0231361986477779,96.6586105135366,92.3733338200241,101.142684799174
300,2015,"Vogels van pionierbegroeiingen",4.53406434978153,43,93.1363314950982,"Landelijk",4.53406434978153,4.58845848988826,0.0231685863590605,98.3427169656574,93.9768110260516,102.911450969606
300,2016,"Vogels van pionierbegroeiingen",4.61843472923674,42,101.335290757433,"Landelijk",4.61843472923674,4.60472122302411,0.02279832087434,99.9551137804812,95.5869700395223,104.522873428648
300,2017,"Vogels van pionierbegroeiingen",4.66677896218103,42,106.354617874128,"Landelijk",4.66677896218103,4.62011856761992,0.0226642299860441,101.506066748815,97.0956598775037,106.116808926515
300,2018,"Vogels van pionierbegroeiingen",4.59423358686687,42,98.9122988054101,"Landelijk",4.59423358686687,4.6347140581213,0.023209287126917,102.998462210321,98.4180138960459,107.792088030718
300,2019,"Vogels van pionierbegroeiingen",4.68564506214809,42,108.380161704178,"Landelijk",4.68564506214809,4.64846065198178,0.0238876960789639,104.424116735163,99.6476802754682,109.429503283715
300,2020,"Vogels van pionierbegroeiingen",4.69320742317585,42,109.202878535202,"Landelijk",4.69320742317585,4.66127007687708,0.0238054742673227,105.770333338607,100.948586967744,110.822387421179
300,2021,"Vogels van pionierbegroeiingen",4.59921829754595,43,99.406578895718,"Landelijk",4.59921829754595,4.6731208132246,0.0232438506348139,107.031246289012,102.26452779759,112.020149399734
300,2022,"Vogels van pionierbegroeiingen",4.68717102071368,42,108.545671588766,"Landelijk",4.68717102071368,4.68413510309229,0.0245997475600858,108.216635587483,103.122705826298,113.562189083751
300,2023,"Vogels van pionierbegroeiingen",4.73143667200633,42,113.45844789006,"Landelijk",4.73143667200633,4.6945761040485,0.0304607804956394,109.352444757157,103.014831630632,116.079956498335
300,2024,"Vogels van pionierbegroeiingen",4.68837165803335,42,108.676073840205,"Landelijk",4.68837165803335,4.70475716356166,0.040314998077015,110.471455195265,102.078259319552,119.554766061945
400,1990,"Vogels van open heide",4.60517018598809,18,100,"Landelijk",4.60517018598809,4.59877753339545,0.0407708891461324,99.3627736940079,91.7315696189864,107.628822194744
400,1991,"Vogels van open heide",4.46002060825534,18,86.4892914713661,"Landelijk",4.46002060825534,4.56272370948215,0.0341030143176269,95.844176330014,89.6471851568737,102.469543469815
400,1992,"Vogels van open heide",4.57237064089221,18,96.7732526878421,"Landelijk",4.57237064089221,4.52657159293583,0.0289855116678439,92.4410914944848,87.3357590480715,97.8448632018891
400,1993,"Vogels van open heide",4.54275502132859,18,93.9492761621117,"Landelijk",4.54275502132859,4.49017813765931,0.0257268707883921,89.1373231785523,84.7540447609009,93.7472943722341
400,1994,"Vogels van open heide",4.4782362171089,18,88.0791830348778,"Landelijk",4.4782362171089,4.45336781536955,0.0240034018614388,85.9158058839747,81.9673623344151,90.0544496061403
400,1995,"Vogels van open heide",4.38069143632823,18,79.8932554108055,"Landelijk",4.38069143632823,4.41595938270011,0.0231551375373302,82.7612024968683,79.0891196221273,86.6037790210947
400,1996,"Vogels van open heide",4.32598428817874,18,75.6399277175797,"Landelijk",4.32598428817874,4.37779401443229,0.0227285297686912,79.6621059736696,76.1912095716212,83.2911193278112
400,1997,"Vogels van open heide",4.39966374086618,18,81.4234846707393,"Landelijk",4.39966374086618,4.3387645637772,0.0225787514879619,76.612830580996,73.2963059173562,80.0794219595522
