"group_code","groep_titel","analysis_mode","msi_variant","weggelaten_soort_id","weggelaten_soort","baseline_trend_pct_per_jaar","loso_trend_pct_per_jaar","verschil_procentpunt","richtingsomslag"
"fg_v1_grondbroed","Grondbroeders","binair","volledig",198,"Tjiftjaf",-1.24144621969833,-1.42446220809149,-0.183015988393165,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",200,"Fitis",-1.24144621969833,-1.2664118713791,-0.024965651680775,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",212,"Zwarte Mees",-1.24144621969833,-1.286793954955,-0.0453477352566733,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",249,"Geelgors",-1.24144621969833,-1.24199731398168,-0.000551094283351983,FALSE
"fg_v1_grondbroed","Grondbroeders","binair","volledig",251,"Rietgors",-1.24144621969833,-1.23162887573952,0.00981734395880673,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",27,"Nijlgans",-2.84040601469201,-2.99493812753817,-0.154532112846162,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",29,"Bergeend",-2.84040601469201,-2.68960515655952,0.150800858132494,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",36,"Wilde Eend",-2.84040601469201,-2.86020682616329,-0.0198008114712822,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",64,"Torenvalk",-2.84040601469201,-2.72746478733658,0.112941227355434,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",122,"Holenduif",-2.84040601469201,-2.84595844751996,-0.00555243282794882,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",126,"Halsbandparkiet",-2.84040601469201,-3.03687602585877,-0.196470011166761,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",128,"Kerkuil",-2.84040601469201,-2.91585729438084,-0.0754512796888318,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",131,"Bosuil",-2.84040601469201,-2.88679206757105,-0.0463860528790438,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",136,"Gierzwaluw",-2.84040601469201,-2.82922731625527,0.0111786984367424,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",137,"IJsvogel",-2.84040601469201,-2.9418265879087,-0.101420573216693,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",141,"Draaihals",-2.84040601469201,-2.83859944447629,0.00180657021572328,FALSE
"fg_v1_holenbroed","Holenbroeders","binair","volledig",142,"Groene Specht",-2.84040601469201,-2.95461799928375,-0.114211984591739,FALSE
