"chart_id","chart_title","soort_naam"
"600","Struweelvogels","Matkop"
"600","Struweelvogels","Merel"
"600","Struweelvogels","Nachtegaal"
"600","Struweelvogels","Paapje"
"600","Struweelvogels","Rietgors"
"600","Struweelvogels","Roodborst"
"600","Struweelvogels","Roodborsttapuit"
"600","Struweelvogels","Spotvogel"
"600","Struweelvogels","Sprinkhaanzanger"
"600","Struweelvogels","Staartmees"
"600","Struweelvogels","Tuinfluiter"
"600","Struweelvogels","Winterkoning"
"600","Struweelvogels","Zanglijster"
"600","Struweelvogels","Zomertortel"
"600","Struweelvogels","Zwartkop"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Blauwborst"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Bosrietzanger"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Cetti's Zanger"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Kneu"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Nachtegaal"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Paapje"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Rietzanger"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Roodborsttapuit"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","Sprinkhaanzanger"
"700","Bosrandvogels","Aalscholver"
"700","Bosrandvogels","Blauwe Reiger"
"700","Bosrandvogels","Boomleeuwerik"
"700","Bosrandvogels","Boompieper"
"700","Bosrandvogels","Bosrietzanger"
"700","Bosrandvogels","Braamsluiper"
"700","Bosrandvogels","Cetti's Zanger"
"700","Bosrandvogels","Draaihals"
"700","Bosrandvogels","Ekster"
"700","Bosrandvogels","Fitis"
"700","Bosrandvogels","Geelgors"
"700","Bosrandvogels","Gekraagde Roodstaart"
"700","Bosrandvogels","Grasmus"
"700","Bosrandvogels","Grauwe Klauwier"
"700","Bosrandvogels","Groene Specht"
"700","Bosrandvogels","Groenling"
"700","Bosrandvogels","Heggenmus"
"700","Bosrandvogels","Kleine Barmsijs"
"700","Bosrandvogels","Kneu"
"700","Bosrandvogels","Kramsvogel"
"700","Bosrandvogels","Nachtegaal"
"700","Bosrandvogels","Nachtzwaluw"
"700","Bosrandvogels","Putter"
"700","Bosrandvogels","Roodborsttapuit"
"700","Bosrandvogels","Roodmus"
"700","Bosrandvogels","Spotvogel"
"700","Bosrandvogels","Tuinfluiter"
"700","Bosrandvogels","Zwarte Kraai"
"800","Bosvogels","Appelvink"
"800","Bosvogels","Boomklever"
"800","Bosvogels","Boomkruiper"
"800","Bosvogels","Boomvalk"
"800","Bosvogels","Bosuil"
"800","Bosvogels","Buizerd"
"800","Bosvogels","Fluiter"
"800","Bosvogels","Gaai"
"800","Bosvogels","Gekraagde Roodstaart"
"800","Bosvogels","Glanskop"
"800","Bosvogels","Goudhaan"
"800","Bosvogels","Grauwe Vliegenvanger"
"800","Bosvogels","Groene Specht"
"800","Bosvogels","Grote Bonte Specht"
"800","Bosvogels","Grote Lijster"
"800","Bosvogels","Halsbandparkiet"
"800","Bosvogels","Havik"
"800","Bosvogels","Holenduif"
"800","Bosvogels","Houtduif"
"800","Bosvogels","Houtsnip"
"800","Bosvogels","Kauw"
"800","Bosvogels","Kleine Bonte Specht"
"800","Bosvogels","Koolmees"
"800","Bosvogels","Kruisbek"
"800","Bosvogels","Kuifmees"
"800","Bosvogels","Pimpelmees"
"800","Bosvogels","Ransuil"
"800","Bosvogels","Ringmus"
"800","Bosvogels","Sijs"
"800","Bosvogels","Slechtvalk"
"800","Bosvogels","Sperwer"
"800","Bosvogels","Spreeuw"
"800","Bosvogels","Tjiftjaf"
"800","Bosvogels","Torenvalk"
"800","Bosvogels","Vink"
"800","Bosvogels","Vuurgoudhaan"
"800","Bosvogels","Wespendief"
"800","Bosvogels","Wielewaal"
"800","Bosvogels","Zwarte Mees"
"800","Bosvogels","Zwarte Specht"
"900","Vogels van bebouwing/overige","Boerenzwaluw"
"900","Vogels van bebouwing/overige","Bonte Vliegenvanger"
"900","Vogels van bebouwing/overige","Gierzwaluw"
"900","Vogels van bebouwing/overige","Holenduif"
"900","Vogels van bebouwing/overige","Huismus"
"900","Vogels van bebouwing/overige","Kauw"
"900","Vogels van bebouwing/overige","Kerkuil"
"900","Vogels van bebouwing/overige","Koekoek"
"900","Vogels van bebouwing/overige","Ringmus"
"900","Vogels van bebouwing/overige","Spreeuw"
"900","Vogels van bebouwing/overige","Turkse Tortel"
"900","Vogels van bebouwing/overige","Witte Kwikstaart"
"900","Vogels van bebouwing/overige","Zwarte Roodstaart"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Bergeend"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Boomleeuwerik"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Boompieper"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Ekster"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Fitis"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Gekraagde Roodstaart"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Gele Kwikstaart"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Graspieper"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Grauwe Klauwier"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Groene Specht"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Grote Bonte Specht"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Grote Lijster"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Heggenmus"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Holenduif"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Houtsnip"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Huismus"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Kauw"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Kievit"
"functioneel-bodem-insect-binair","Bodemfoeragerende insecteneters — binair","Kleine Barmsijs"
