"chart_id","chart_title","serie","jaar","fit_1990","lower_1990","upper_1990"
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1989,100.264611853051,79.5185333636984,126.42326216032
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1990,100,79.8103454436682,125.297039430286
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1991,99.8163879611441,80.0787950632038,124.418846434264
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1992,99.6211002645928,80.1955486860381,123.752050837403
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1993,99.3180051910195,80.0533061552026,123.218722984401
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1994,98.8125823513382,79.5790574543292,122.69467298659
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1995,98.0178753868294,78.73837407134,122.018063093902
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1996,96.8609058586288,77.52981297504,121.01196589723
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1997,95.2888859316445,75.9733802655413,119.515174267062
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1998,93.2744100242004,74.0983825465951,117.413029358526
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",1999,90.8187867708688,71.9341468219303,114.661150440141
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2000,87.9528600351331,69.5048421201774,111.297362203691
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2001,84.7350000835971,66.8286447273984,107.43926153905
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2002,81.2464244233406,63.921527649625,103.266954409472
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2003,77.5844816952636,60.8057528959795,98.9931299793296
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2004,73.8548942516421,57.5214707156322,94.8262507383854
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2005,70.1640667397203,54.1364644554392,90.9367892967619
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2006,66.6125121013588,50.747448781685,87.4374352796054
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2007,63.2901140466219,47.469727763242,84.3830104948729
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2008,60.2735610170042,44.4195436440505,81.7861206945811
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2009,57.6259041024236,41.6977900430205,79.6383889936524
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2010,55.3978955411706,39.3812850900366,77.9285598063656
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2011,53.6306291967176,37.5223979323139,76.6540665451135
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2012,52.358982817028,36.154314316411,75.8267203643091
"6430-ruigten-en-zomen","H6430 - Ruigten en zomen","meijendel",2013,51.6154495414207,35.2986986266475,75.4745850418332
