"soort_id","euring_code","soort_naam","engelse_naam","analyse_categorie","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","trend_pct_per_jaar","trend_p","trend_r2","trend_uitleg","trendduiding_type","model"
88,4930,"Kievit","lapwing","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-2.12074911235951,0.0106892010741691,0.242013382426624,"matige afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
94,5290,"Houtsnip","Woodcock","trim_bruikbaar",1998,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1998,2022,25,-1.92419520972059,0.463880506416025,0.0258230477374154,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
97,5410,"Wulp","Curlew","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-28.7540924859321,0.0242185854765934,0.757057117116916,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
98,5460,"Tureluur","Redshank","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-3.06176432298423,0.345307911601811,0.0992672838829675,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
106,5900,"Stormmeeuw","common gull","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-11.0797541414323,1.00455776832725e-05,0.762465920495397,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
116,6150,"Visdief","Common Tern","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-4.44089209850063e-14,0.212295615009682,0.695052499303537,"stabiel","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
122,6680,"Holenduif","stock dove","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,2.91093309641295,0.0110423575399145,0.249354041313212,"matige toename","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
123,6700,"Houtduif","woodpigeon","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-8.96788682006752,2.42727279150794e-15,0.929703106700864,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
124,6840,"Turkse Tortel","Collared Dove","trim_bruikbaar",1999,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1999,2022,24,-1.25169057202847,0.731845036801505,0.00632476793168779,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
125,6870,"Tortelduif","turtle dove","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-27.9820020482861,1.98652969016653e-08,0.768003335714598,"sterke afname","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
126,7120,"Halsbandparkiet","ring-necked parakeet","trim_bruikbaar",2003,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2003,2022,20,4.56384565270749,0.351765752773376,0.0580025927583124,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
127,7240,"Koekoek","cuckoo","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.86885852178393,0.00104943218338193,0.366487607576827,"lichte afname","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
131,7610,"Bosuil","tawny owl","trim_bruikbaar",1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1997,2022,26,-1.5509096769327,0.254406018829931,0.0537574553268015,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model3_overdisp"
132,7670,"Ransuil","Long-eared Owl","trim_bruikbaar",2005,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2005,2022,18,15.8150363137139,0.297614176403104,0.345098093443623,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
135,7780,"Nachtzwaluw","Nightjar","trim_bruikbaar",2002,"index_100 = eerste analysejaar vanaf eerste positieve jaar",2002,2022,21,-6.69726110528701,0.352384999780735,0.216531549645139,"onzeker","eigen_trendduiding_op_basis_van_trim_index","model2_basis"
