"id","euring_code","soort_naam","engelse_naam","n_jaren_eerste_venster","n_jaren_laatste_venster","som_territoria","in_sandra_selectie","selectie_reden"
57,2600,"Bruine Kiekendief","Marsh Harrier",1,0,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
324,910,"Bruine pelikaan","Pelican",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
265,31521,"Bruine Rat","Brown Rat",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
569,18990,"Bruinkop-koevogel","Brown-headed Cowbird",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
211,14900,"Buidelmees","Eurasian Penduline Tit",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
62,2870,"Buizerd","buzzard",5,5,218,TRUE,"aanwezig_in_sandra_plots_1997_2022"
274,31655,"Bunzing","European Polecat",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
368,2290,"Californische condor","California Condor",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
398,3410,"Californische kuifkwartel","California Quail",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
444,6120,"Californische kuifstern","Elegant Tern",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
24,1660,"Canadese Gans","Canada Goose",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
505,10630,"Carolina winterkoning","Carolina Wren",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
31,1770,"Carolina-eend","Wood Duck",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
464,7080,"Carolinaparkiet","Carolina Parakeet",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
28,1710,"Casarca","Ruddy Shelduck",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
593,27980,"Cebu-shamalijster","Black Shama",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
502,10460,"Cederpestvogel","Cedar Waxwing",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
180,12200,"Cetti's Zanger","Cetti's warbler",0,4,64,TRUE,"aanwezig_in_sandra_plots_1997_2022"
573,20230,"Chileense flamingo","Chilean Flamingo",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
437,5800,"Chinese kokmeeuw","Saunders's Gull",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
565,18580,"Cirlgors","Gratapalles",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
499,10180,"Citroenkwikstaart","Citrine Wagtail",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
255,31027,"Citroenvlinder","Common Brimstone",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
561,17610,"Citroenzanger","Prothonotary Warbler",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
285,31821,"Damhert","Fallow Deer",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
451,6350,"Dikbekzeekoet","Brünnich’s Murre",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
1,70,"Dodaars","little grebe",5,5,962,TRUE,"aanwezig_in_sandra_plots_1997_2022"
587,26430,"Dominikanerwida","Pin-tailed Widow",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
606,32680,"Donkerrode amarant","African Firefinch",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
445,6140,"Dougalls stern","Roseate Tern",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
141,8480,"Draaihals","Eurasian Wryneck",1,0,1,TRUE,"aanwezig_in_sandra_plots_1997_2022"
577,20291,"Driekleurnon","Kalo matha munia",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
442,6020,"Drieteenmeeuw","Kittiwake",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
492,8980,"Drieteenspecht","Three-Toed Woodpecker",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
89,4970,"Drieteenstrandloper","Sanderling",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
154,10050,"Duinpieper","Tawny Pipit",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
425,5400,"Dunbekwulp","Slender-billed Curlew",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
386,2980,"Dwergarend","Booted Eagle",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
607,33250,"Dwergbijeneter","Little Bee-eater",0,0,0,FALSE,"geen_territoria_in_sandra_plots_1997_2022"
