"soort_id","euring_code","soort_naam","engelse_naam","jaar","basisjaar","basisjaar_toelichting","trim_index","trim_se","index_100","model_config","model_overdispersion","model_serial_correlation","model_warnings"
2,90,"Fuut","great crested grebe",2020,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.461538461538462,0.0923891915532858,46.1538461538462,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2021,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.487179487179487,0.0957498900028809,48.7179487179487,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
2,90,"Fuut","great crested grebe",2022,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.477513926516636,0.0997480584737771,47.7513926516636,"model3_overdisp",TRUE,FALSE,"Overdispersion 0.5 <1; consider setting overdisp=FALSE"
4,120,"Geoorde Fuut","black-necked grebe",1997,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",1,0,100,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",1998,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.714285714285714,0.330102536928387,71.4285714285714,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",1999,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.571428571428571,0.298858906663324,57.1428571428571,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2000,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.991387124432027,0.358752171515909,99.1387124432027,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2001,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.857142857142857,0.332351219596539,85.7142857142857,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2002,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.642857142857143,0.285597086730119,64.2857142857143,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2003,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.857142857142857,0.319420330327981,85.7142857142857,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2004,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.357142857142857,0.228120530338126,35.7142857142857,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2005,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.285714285714286,0.212430503201327,28.5714285714286,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2006,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.357142857142857,0.213283318637481,35.7142857142857,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2007,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.788858790799432,0.282978503617387,78.8858790799432,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2008,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.672026953898043,0.250051670247934,67.2026953898043,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2009,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.5,0.216448654011646,50,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2010,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.571428571428571,0.224593731395854,57.1428571428571,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2011,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.357142857142857,0.18224944396302,35.7142857142857,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
4,120,"Geoorde Fuut","black-necked grebe",2012,1997,"index_100 = eerste analysejaar vanaf eerste positieve jaar",0.571428571428571,0.215609848693333,57.1428571428571,"model2_basis",FALSE,FALSE,"Data ends with 2 years without positive observations."
