"soort_id","euring_code","soort_naam","engelse_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","n_positieve_jaren","n_actieve_plots","model_gelukt","model","model_overdispersion","model_serial_correlation","model_aic","model_fallback_reden","fout","waarschuwingen","modelpogingen","modelselectie_methode","analyse_categorie"
53,2310,"Wespendief","Honey Buzzard",625,2,26,2,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
57,2600,"Bruine Kiekendief","Marsh Harrier",625,1,26,1,1,FALSE,NA,FALSE,FALSE,NA,"geen_model","te_weinig_data",NA,NA,"vaste_voorkeurhierarchie_eerste_werkende_model","te_zeldzaam"
60,2670,"Havik","goshawk",625,86,26,26,13,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.8 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
61,2690,"Sperwer","Sparrowhawk",625,28,26,22,11,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 17, 19 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 17, 19 || model3_basis:fout:Found zero or less counts for year 2, 3, 17, 19 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
62,2870,"Buizerd","buzzard",625,205,26,26,23,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,"Overdispersion 0.7 <1; consider setting overdisp=FALSE","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
64,3040,"Torenvalk","kestrel",625,26,26,11,10,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 1 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26 || model3_basis:fout:Found zero or less counts for year 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
66,3100,"Boomvalk","hobby",625,33,26,14,12,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 5 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
70,3700,"Kwartel","Quail",625,3,26,3,3,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 2 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16 || model3_basis:fout:Found zero or less counts for year 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
71,3940,"Gewone Fazant","pheasant",625,152,26,15,23,TRUE,"model2_basis",FALSE,FALSE,NA,"model3_varianten_mislukt_fallback_naar_model2",NA,"Data ends with 11 years without positive observations.","model3_overdisp:fout:Found zero or less counts for year 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
72,4070,"Waterral","water rail",625,128,26,26,15,TRUE,"model3_overdisp",TRUE,FALSE,NA,"voorkeursmodel_gekozen",NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","vaste_voorkeurhierarchie_eerste_werkende_model","trim_bruikbaar"
