"soort_id","euring_code","soort_naam","brugfactor","brugmethode"
82,4560,"Kluut",NA,"geen_model"
84,4690,"Kleine Plevier",1,"fallback_1"
85,4700,"Bontbekplevier",NA,"geen_model"
88,4930,"Kievit",0.515239363122542,"1981_1983_naar_1984_1986"
93,5190,"Watersnip",1,"alleen_post"
94,5290,"Houtsnip",2.64156321272718,"1981_1983_naar_1984_1986"
97,5410,"Wulp",0.763259661952289,"1981_1983_naar_1984_1986"
98,5460,"Tureluur",1,"fallback_1"
102,5560,"Oeverloper",NA,"geen_model"
105,5820,"Kokmeeuw",1,"alleen_pre"
106,5900,"Stormmeeuw",20.7862796217772,"1981_1983_naar_1984_1986"
107,5910,"Kleine Mantelmeeuw",115.044745165238,"1981_1983_naar_1984_1986"
108,5920,"Zilvermeeuw",5.99007937971548,"1981_1983_naar_1984_1986"
116,6150,"Visdief",1,"alleen_post"
121,6658,"Stadsduif",NA,"geen_model"
122,6680,"Holenduif",0.541548797718046,"1981_1983_naar_1984_1986"
123,6700,"Houtduif",15.1566866940249,"1981_1983_naar_1984_1986"
124,6840,"Turkse Tortel",1.49388703084927,"1981_1983_naar_1984_1986"
125,6870,"Tortelduif",11.8696771958448,"1981_1983_naar_1984_1986"
126,7120,"Halsbandparkiet",1,"alleen_post"
127,7240,"Koekoek",15.0186694028961,"1981_1983_naar_1984_1986"
128,7350,"Kerkuil",1,"alleen_post"
130,7570,"Steenuil",NA,"geen_model"
131,7610,"Bosuil",1.52046731126327,"1981_1983_naar_1984_1986"
132,7670,"Ransuil",0.128489469797808,"1981_1983_naar_1984_1986"
133,7680,"Velduil",NA,"geen_model"
135,7780,"Nachtzwaluw",1,"alleen_post"
136,7950,"Gierzwaluw",1,"alleen_post"
137,8310,"IJsvogel",1,"alleen_post"
138,8400,"Bijeneter",NA,"geen_model"
140,8460,"Hop",NA,"geen_model"
141,8480,"Draaihals",1,"alleen_pre"
142,8560,"Groene Specht",4.24633888951562,"1981_1983_naar_1984_1986"
143,8630,"Zwarte Specht",1,"alleen_post"
144,8760,"Grote Bonte Specht",2.35598096699978,"1981_1983_naar_1984_1986"
146,8870,"Kleine Bonte Specht",1,"fallback_1"
147,9720,"Kuifleeuwerik",1,"alleen_pre"
148,9740,"Boomleeuwerik",1.10673162533795,"1981_1983_naar_1984_1986"
150,9760,"Veldleeuwerik",1.6636269483803,"1981_1983_naar_1984_1986"
