"soort_id","euring_code","soort_naam","n_getelde_cellen","n_positieve_cellen","n_jaren_geteld","pre_model_gelukt","post_model_gelukt","pre_model","post_model","pre_model_overdispersion","post_model_overdispersion","pre_model_serial_correlation","post_model_serial_correlation","pre_model_aic","post_model_aic","pre_model_fallback_reden","post_model_fallback_reden","pre_fout","post_fout","pre_waarschuwingen","post_waarschuwingen","pre_modelpogingen","post_modelpogingen","pre_positieve_jaren","post_positieve_jaren","pre_actieve_plots","post_actieve_plots","n_actieve_plots","modelselectie_methode","analyse_categorie"
88,4930,"Kievit",2153,581,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,32,27,37,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
94,5290,"Houtsnip",2153,249,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 4, 5 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4, 5 || model3_basis:fout:Found zero or less counts for year 4, 5 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 30 || model3_overdisp_serialcor:fout:Found zero or less counts for year 30 || model3_basis:fout:Found zero or less counts for year 30 || model2_basis:ok:aic=NA",17,41,22,32,34,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
97,5410,"Wulp",2153,389,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,"Overdispersion 0.9 <1; consider setting overdisp=FALSE","Data ends with 14 years without positive observations.","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42 || model3_basis:fout:Found zero or less counts for year 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42 || model2_basis:ok:aic=NA",26,16,28,22,34,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
98,5460,"Tureluur",2153,28,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,"Data ends with 11 years without positive observations.",NA,"model3_overdisp:fout:Found zero or less counts for year 4, 5, 6, 7, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_overdisp_serialcor:fout:Found zero or less counts for year 4, 5, 6, 7, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model3_basis:fout:Found zero or less counts for year 4, 5, 6, 7, 10, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 8, 9, 10, 11, 12, 15, 19, 20, 21, 22, 24, 26, 28, 29 || model3_overdisp_serialcor:fout:Found zero or less counts for year 8, 9, 10, 11, 12, 15, 19, 20, 21, 22, 24, 26, 28, 29 || model3_basis:fout:Found zero or less counts for year 8, 9, 10, 11, 12, 15, 19, 20, 21, 22, 24, 26, 28, 29 || model2_basis:ok:aic=NA",8,16,4,5,8,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
106,5900,"Stormmeeuw",2153,254,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,"Data ends with 1 years without positive observations.","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:fout:Model can't be estimated due to excessive low beta value at year #2 (2).
 || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42 || model3_overdisp_serialcor:fout:Found zero or less counts for year 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42 || model3_basis:fout:Found zero or less counts for year 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42 || model2_basis:ok:aic=NA",26,30,13,14,19,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
107,5910,"Kleine Mantelmeeuw",2153,156,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 20 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 20 || model3_basis:fout:Found zero or less counts for year 2, 20 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 41 || model3_overdisp_serialcor:fout:Found zero or less counts for year 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 41 || model3_basis:fout:Found zero or less counts for year 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 37, 38, 41 || model2_basis:ok:aic=NA",24,15,13,12,17,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
108,5920,"Zilvermeeuw",2153,123,68,TRUE,TRUE,"model3_overdisp","model2_basis",TRUE,FALSE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 40 || model3_overdisp_serialcor:fout:Found zero or less counts for year 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 40 || model3_basis:fout:Found zero or less counts for year 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 40 || model2_basis:ok:aic=NA",6,14,19,14,23,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
122,6680,"Holenduif",2153,281,68,TRUE,TRUE,"model2_basis","model3_overdisp",FALSE,TRUE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 3, 4, 5, 6 || model3_overdisp_serialcor:fout:Found zero or less counts for year 3, 4, 5, 6 || model3_basis:fout:Found zero or less counts for year 3, 4, 5, 6 || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",3,42,3,42,42,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
123,6700,"Houtduif",2153,1677,68,TRUE,TRUE,"model3_overdisp","model3_overdisp",TRUE,TRUE,FALSE,FALSE,NA,NA,"voorkeursmodel_gekozen","voorkeursmodel_gekozen",NA,NA,NA,NA,"model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA","model3_overdisp:ok:aic=NA || model3_overdisp_serialcor:ok:aic=NA || model3_basis:ok:aic=NA || model2_basis:ok:aic=NA",26,42,43,54,54,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
124,6840,"Turkse Tortel",2153,86,68,TRUE,TRUE,"model2_basis","model2_basis",FALSE,FALSE,FALSE,FALSE,NA,NA,"model3_varianten_mislukt_fallback_naar_model2","model3_varianten_mislukt_fallback_naar_model2",NA,NA,NA,NA,"model3_overdisp:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 || model3_overdisp_serialcor:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 || model3_basis:fout:Found zero or less counts for year 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 || model2_basis:ok:aic=NA","model3_overdisp:fout:Found zero or less counts for year 10, 13, 22, 23, 29, 32, 33, 34, 41 || model3_overdisp_serialcor:fout:Found zero or less counts for year 10, 13, 22, 23, 29, 32, 33, 34, 41 || model3_basis:fout:Found zero or less counts for year 10, 13, 22, 23, 29, 32, 33, 34, 41 || model2_basis:ok:aic=NA",12,33,10,22,28,"vaste_voorkeurhierarchie_eerste_werkende_model","brugbare_tijdreeks"
