"soort_id","euring_code","soort_naam","analyse_categorie","basisjaar_index_gebrugged","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_jaren_index","overall_trend_pct_per_jaar","overall_p","overall_r2","overall_uitleg","trend_pre_pct_per_jaar","trend_pre_p","trend_pre_r2","trend_pre_uitleg","trend_post_pct_per_jaar","trend_post_p","trend_post_r2","trend_post_uitleg","trendduiding_type","brugfactor","brugmethode"
122,6680,"Holenduif","brugbare_tijdreeks",1977,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1977,2025,49,-2.99385779846882,9.93476201845208e-07,0.4304807578715,"matige afname",8.97722227244728,0.0994252840513973,0.97580645161291,"onzeker",-2.22685220436737,0.000223302528422594,0.291610166765433,"matige afname","eigen_trendduiding_op_basis_van_trim_index",0.539521781462811,"1981_1983_naar_1984_1986"
123,6700,"Houtduif","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-1.40712478255568,0.00938903283689596,0.0978750763290354,"lichte afname",11.2247348583598,1.52956906660781e-14,0.91808787751491,"sterke toename",-7.22163756959757,3.14144176309696e-34,0.976573809928547,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",15.97698100627,"1981_1983_naar_1984_1986"
124,6840,"Turkse Tortel","brugbare_tijdreeks",1961,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1961,2025,65,-1.68184729559507,0.00115316671018725,0.155489584883562,"lichte afname",5.51356632753495,0.000204895844516484,0.488987391786691,"sterke toename",-3.44599507218285,0.00134293907779777,0.229122378547681,"matige afname","eigen_trendduiding_op_basis_van_trim_index",1.55594011957215,"1981_1983_naar_1984_1986"
125,6870,"Tortelduif","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-7.37988694611401,7.22509033871087e-13,0.544142003492242,"sterke afname",9.95384660651879,4.15107752943435e-13,0.892268909963623,"sterke toename",-15.8697051742594,2.10180944072888e-21,0.897645705373578,"sterke afname","eigen_trendduiding_op_basis_van_trim_index",12.1418202791011,"1981_1983_naar_1984_1986"
127,7240,"Koekoek","brugbare_tijdreeks",1959,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1959,2025,67,2.20652531931196,0.000136702414149511,0.201879814105702,"matige toename",17.8392584365133,3.85047486025595e-15,0.934905712207263,"sterke toename",-2.77832429271408,6.00846562523345e-12,0.697768393644361,"matige afname","eigen_trendduiding_op_basis_van_trim_index",15.9638606583863,"1981_1983_naar_1984_1986"
131,7610,"Bosuil","brugbare_tijdreeks",1973,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1973,2025,53,-2.65305086192446,5.65905490024499e-07,0.396685285601021,"matige afname",-5.59601466341798,0.573607737187749,0.0412471492212477,"onzeker",-2.75563845731855,5.53245305908322e-07,0.469628046697258,"matige afname","eigen_trendduiding_op_basis_van_trim_index",1.58176452653432,"1981_1983_naar_1984_1986"
132,7670,"Ransuil","brugbare_tijdreeks",1958,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1958,2025,68,-5.33535768270125,3.47346214268782e-11,0.488175670895317,"sterke afname",-11.2245419024251,0.000521936657273853,0.400450055479687,"sterke afname",-0.147455756686754,0.884053771120226,0.000538218315314239,"stabiel","eigen_trendduiding_op_basis_van_trim_index",0.127262163876416,"1981_1983_naar_1984_1986"
142,8560,"Groene Specht","brugbare_tijdreeks",1962,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1962,2025,64,0.3494077582886,0.413259993785039,0.0108251358021661,"stabiel",11.2393477852065,1.83996427135965e-12,0.920521122486209,"sterke toename",-3.64515716326573,1.31045284388713e-15,0.801079384912589,"matige afname","eigen_trendduiding_op_basis_van_trim_index",4.60694771130236,"1981_1983_naar_1984_1986"
144,8760,"Grote Bonte Specht","brugbare_tijdreeks",1973,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1973,2025,53,4.97602031863882,5.73719690743928e-25,0.878182514647605,"matige toename",14.0524582397557,0.000261150993772278,0.788635254045756,"sterke toename",3.70256905164046,1.0081187258036e-19,0.875863528705954,"matige toename","eigen_trendduiding_op_basis_van_trim_index",2.57277252745354,"1981_1983_naar_1984_1986"
146,8870,"Kleine Bonte Specht","brugbare_tijdreeks",1974,"index_gebrugged = 100 in het eerste analysejaar vanaf eerste positieve jaar",1974,2025,51,7.69197601709009,2.64065125005112e-15,0.761921999979413,"sterke toename",0.874016742448025,0.299220112846029,0.343270614320299,"stabiel",9.89096559133469,6.08015688408708e-17,0.836884341130869,"sterke toename","eigen_trendduiding_op_basis_van_trim_index",1,"fallback_1"
