"groep_100","groep_titel","soort_id","euring_code","soort_naam","engelse_naam","msi_variant"
800,"Bosvogels",170,11220,"Gekraagde Roodstaart","redstart","volledig"
800,"Bosvogels",208,14400,"Glanskop","marsh tit","volledig"
800,"Bosvogels",201,13140,"Goudhaan","goldcrest","volledig"
800,"Bosvogels",203,13350,"Grauwe Vliegenvanger","Spotted Flycatcher","volledig"
800,"Bosvogels",142,8560,"Groene Specht","European Green Woodpecker","volledig"
800,"Bosvogels",144,8760,"Grote Bonte Specht","great spotted woodpecker","volledig"
800,"Bosvogels",179,12020,"Grote Lijster","mistle thrush","volledig"
800,"Bosvogels",126,7120,"Halsbandparkiet","ring-necked parakeet","volledig"
800,"Bosvogels",60,2670,"Havik","goshawk","volledig"
800,"Bosvogels",122,6680,"Holenduif","stock dove","volledig"
800,"Bosvogels",123,6700,"Houtduif","woodpigeon","volledig"
800,"Bosvogels",94,5290,"Houtsnip","Woodcock","volledig"
800,"Bosvogels",224,15600,"Kauw","jackdaw","volledig"
800,"Bosvogels",146,8870,"Kleine Bonte Specht","lesser spotted woodpecker","volledig"
800,"Bosvogels",214,14640,"Koolmees","great tit","volledig"
800,"Bosvogels",243,16660,"Kruisbek","Crossbill","volledig"
800,"Bosvogels",210,14540,"Kuifmees","crested tit","volledig"
800,"Bosvogels",213,14620,"Pimpelmees","blue tit","volledig"
800,"Bosvogels",132,7670,"Ransuil","Long-eared Owl","volledig"
800,"Bosvogels",232,15980,"Ringmus","Tree Sparrow","volledig"
800,"Bosvogels",238,16540,"Sijs","Eurasian Siskin","volledig"
800,"Bosvogels",61,2690,"Sperwer","Sparrowhawk","volledig"
800,"Bosvogels",229,15820,"Spreeuw","starling","volledig"
800,"Bosvogels",198,13110,"Tjiftjaf","Common Chiffchaff","volledig"
800,"Bosvogels",64,3040,"Torenvalk","kestrel","volledig"
800,"Bosvogels",233,16360,"Vink","chaffinch","volledig"
800,"Bosvogels",218,15080,"Wielewaal","golden oriole","volledig"
800,"Bosvogels",212,14610,"Zwarte Mees","coal tit","volledig"
900,"Vogels van bebouwing/overige",122,6680,"Holenduif","stock dove","volledig"
900,"Vogels van bebouwing/overige",224,15600,"Kauw","jackdaw","volledig"
900,"Vogels van bebouwing/overige",127,7240,"Koekoek","cuckoo","volledig"
900,"Vogels van bebouwing/overige",232,15980,"Ringmus","Tree Sparrow","volledig"
900,"Vogels van bebouwing/overige",229,15820,"Spreeuw","starling","volledig"
900,"Vogels van bebouwing/overige",124,6840,"Turkse Tortel","Collared Dove","volledig"
900,"Vogels van bebouwing/overige",162,10201,"Witte Kwikstaart","White Wagtail","volledig"
100,"Watervogels",29,1730,"Bergeend","Common Shelduck","robuust"
100,"Watervogels",1,70,"Dodaars","little grebe","robuust"
100,"Watervogels",2,90,"Fuut","great crested grebe","robuust"
100,"Watervogels",4,120,"Geoorde Fuut","black-necked grebe","robuust"
100,"Watervogels",21,1610,"Grauwe Gans","greylag goose","robuust"
100,"Watervogels",137,8310,"IJsvogel","kingfisher","robuust"
100,"Watervogels",17,1520,"Knobbelzwaan","mute swan","robuust"
100,"Watervogels",34,1820,"Krakeend","gadwall","robuust"
100,"Watervogels",41,1960,"Krooneend","red-crested pochard","robuust"
100,"Watervogels",44,2030,"Kuifeend","tufted duck","robuust"
100,"Watervogels",78,4290,"Meerkoet","Eurasian coot","robuust"
100,"Watervogels",27,1700,"Nijlgans","Egyptian goose","robuust"
100,"Watervogels",40,1940,"Slobeend","shoveler","robuust"
100,"Watervogels",42,1980,"Tafeleend","pochard","robuust"
100,"Watervogels",116,6150,"Visdief","Common Tern","robuust"
100,"Watervogels",77,4240,"Waterhoen","moorhen","robuust"
100,"Watervogels",36,1860,"Wilde Eend","mallard","robuust"
100,"Watervogels",35,1840,"Wintertaling","Teal","robuust"
100,"Watervogels",39,1910,"Zomertaling","Garganey","robuust"
200,"Rietvogels",168,11060,"Blauwborst","bluethroat","robuust"
200,"Rietvogels",189,12530,"Grote Karekiet","Great Reed Warbler","robuust"
200,"Rietvogels",188,12510,"Kleine Karekiet","reed warbler","robuust"
200,"Rietvogels",251,18770,"Rietgors","reed bunting","robuust"
200,"Rietvogels",186,12430,"Rietzanger","sedge warbler","robuust"
200,"Rietvogels",7,950,"Roerdomp","bittern","robuust"
200,"Rietvogels",182,12360,"Sprinkhaanrietzanger","grasshopper warbler","robuust"
200,"Rietvogels",77,4240,"Waterhoen","moorhen","robuust"
200,"Rietvogels",72,4070,"Waterral","water rail","robuust"
200,"Rietvogels",8,980,"Woudaap","Little Bittern","robuust"
300,"Vogels van pionierbegroeiingen",29,1730,"Bergeend","Common Shelduck","robuust"
300,"Vogels van pionierbegroeiingen",148,9740,"Boomleeuwerik","woodlark","robuust"
300,"Vogels van pionierbegroeiingen",71,3940,"Gewone Fazant","pheasant","robuust"
300,"Vogels van pionierbegroeiingen",156,10110,"Graspieper","meadow pipit","robuust"
300,"Vogels van pionierbegroeiingen",122,6680,"Holenduif","stock dove","robuust"
