plot_id,jaar,bron,klasse,area_m2,pct
3531,2022,CBS_NBBG2022,Bos,31670.77029542169,6.550487753267148
3531,2022,CBS_NBBG2022,Open droog natuurlijk terrein,451816.4368919431,93.44951224673285
3532,2022,CBS_NBBG2022,Bos,103122.45277249166,30.84383824691137
3532,2022,CBS_NBBG2022,Open droog natuurlijk terrein,199444.9851044997,59.653826051757896
3532,2022,CBS_NBBG2022,Overig binnenwater,31769.851623021128,9.502335701330718
3533,2022,CBS_NBBG2022,Open droog natuurlijk terrein,400298.3939000004,100.0
3534,2022,CBS_NBBG2022,Bos,100726.17643937611,23.473448102444785
3534,2022,CBS_NBBG2022,Hoofdweg,4201.587578768334,0.9791471439150163
3534,2022,CBS_NBBG2022,Open droog natuurlijk terrein,209626.54712113104,48.851828280250004
3534,2022,CBS_NBBG2022,Openbare voorziening,22181.449078452046,5.169213328507944
3534,2022,CBS_NBBG2022,Overig binnenwater,92371.10128714601,21.52636314488225
3581,2022,CBS_NBBG2022,Bos,51923.91144698326,19.167038937394963
3581,2022,CBS_NBBG2022,Hoofdweg,1192.4831021996788,0.4401896816919157
3581,2022,CBS_NBBG2022,Open droog natuurlijk terrein,145149.40723223446,53.580022433415365
3581,2022,CBS_NBBG2022,Overig binnenwater,72636.3006068629,26.81274894749775
3583,2022,CBS_NBBG2022,Bos,5181.865163967158,8.035542162102951
3583,2022,CBS_NBBG2022,Hoofdweg,4255.405582961246,6.598877025305421
3583,2022,CBS_NBBG2022,Open droog natuurlijk terrein,55049.543701084294,85.36558081259163
9917,2022,CBS_NBBG2022,Bos,233623.73646527703,57.67986545158252
9917,2022,CBS_NBBG2022,Dagrecreatief terrein,30230.517529165263,7.463677321474226
9917,2022,CBS_NBBG2022,Detailhandel en horeca,12969.713033241967,3.2021202726300033
9917,2022,CBS_NBBG2022,Hoofdweg,4135.635496354274,1.0210559192128894
9917,2022,CBS_NBBG2022,Open droog natuurlijk terrein,124075.55946222658,30.633281035100364
10626,2022,CBS_NBBG2022,Bos,88540.7316251975,27.386563160724332
10626,2022,CBS_NBBG2022,Hoofdweg,1954.14388646706,0.6044368957602237
10626,2022,CBS_NBBG2022,Open droog natuurlijk terrein,232231.96403988698,71.83174607185475
10626,2022,CBS_NBBG2022,Openbare voorziening,573.0615918518927,0.17725387166069828
12381,2022,CBS_NBBG2022,Bos,185382.62541882123,78.37904160935642
12381,2022,CBS_NBBG2022,Dagrecreatief terrein,618.4520694254236,0.2614790915457954
12381,2022,CBS_NBBG2022,Hoofdweg,5251.966265171971,2.220510587218479
12381,2022,CBS_NBBG2022,Open droog natuurlijk terrein,45267.61484658571,19.13896871187931
12382,2022,CBS_NBBG2022,Bos,61282.23729640918,92.04046327346573
12382,2022,CBS_NBBG2022,Hoofdweg,2835.043523042108,4.257982912717903
12382,2022,CBS_NBBG2022,Open droog natuurlijk terrein,2464.5627707212734,3.7015538138163557
20247,2022,CBS_NBBG2022,Bos,163882.00144951645,57.72417953341796
20247,2022,CBS_NBBG2022,Hoofdweg,3328.3625230463304,1.1723495816092455
20247,2022,CBS_NBBG2022,Open droog natuurlijk terrein,116694.9297434632,41.10347088497278
20758,2022,CBS_NBBG2022,Bos,262481.36490352073,52.413233294514825
20758,2022,CBS_NBBG2022,Hoofdweg,16571.50669194655,3.3090587082472074
20758,2022,CBS_NBBG2022,Open droog natuurlijk terrein,221739.2917664332,44.27770799723796
27371,2022,CBS_NBBG2022,Bos,207520.97834820824,46.372303433258914
27371,2022,CBS_NBBG2022,Hoofdweg,3922.8708318004215,0.8765983949655979
27371,2022,CBS_NBBG2022,Open droog natuurlijk terrein,236066.7616458729,52.75109817177548
29455,2022,CBS_NBBG2022,Bos,353930.0149995948,76.55730095148307
29455,2022,CBS_NBBG2022,Hoofdweg,4956.762996404379,1.0721791890448724
29455,2022,CBS_NBBG2022,Open droog natuurlijk terrein,93066.2337839757,20.130815037625634
29455,2022,CBS_NBBG2022,Woonterrein,10354.319592498789,2.2397048218464177
