plot_id,jaar,habitat_id,aandeel_m2,habitat_code,habitat_code_raw
3534,2014,7.0,24169.47875153927,H2180C,H2180C
3534,2014,11.0,23591.338068898967,H2190D,H2190D
3581,2014,,85675.08487829796,H0000,H0000
3581,2014,3.0,25781.862752515317,H2130A,H2130A
3581,2014,4.0,24750.42186974076,H2130B,H2130B
3581,2014,5.0,44998.93340114989,H2160,H2160
3581,2014,6.0,77094.82841482823,H2180A,H2180Ao
3581,2014,13.0,2315.460067421763,H2180B,H2180B
3581,2014,7.0,10285.511004324895,H2180C,H2180C
3583,2014,,10503.853737270125,H0000,H0000
3583,2014,3.0,3418.869142036789,H2130A,H2130A
3583,2014,4.0,11255.859837148093,H2130B,H2130B
3583,2014,5.0,16405.993699400096,H2160,H2160
3583,2014,6.0,15.706179593142348,H2180A,H2180Abe
3583,2014,6.0,391.997979814109,H2180A,H2180Ao
3583,2014,7.0,22491.91681304055,H2180C,H2180C
9917,2014,,29354.918115940713,H0000,H0000
9917,2014,3.0,12236.193052260784,H2130A,H2130A
9917,2014,4.0,33005.141983258705,H2130B,H2130B
9917,2014,5.0,33048.88015582264,H2160,H2160
9917,2014,6.0,291288.5227225735,H2180A,H2180Ao
9917,2014,13.0,1.4213572889610016,H2180B,H2180B
9917,2014,11.0,115.03501998341582,H2190D,H2190D
10626,2014,,36664.114185942395,H0000,H0000
10626,2014,3.0,16736.49860638413,H2130A,H2130A
10626,2014,3.0,1108.1156931229564,H2130A,ZGH2130A
10626,2014,4.0,18062.22562332526,H2130B,H2130B
10626,2014,5.0,74299.49543283318,H2160,H2160
10626,2014,5.0,59.69262910989883,H2160,ZGH2160
10626,2014,6.0,123694.11213981408,H2180A,H2180Ao
12381,2014,,31751.704234498604,H0000,H0000
12381,2014,3.0,3096.2963072522484,H2130A,H2130A
12381,2014,4.0,31380.9541359633,H2130B,H2130B
12381,2014,5.0,3741.888262546832,H2160,H2160
12381,2014,6.0,3913.4362848482683,H2180A,H2180Abe
12381,2014,6.0,160489.48833475058,H2180A,H2180Ao
12381,2014,7.0,2146.891040140676,H2180C,H2180C
12382,2014,,3587.7615201082435,H0000,H0000
12382,2014,3.0,1068.8456430551046,H2130A,H2130A
12382,2014,4.0,5544.85491937644,H2130B,H2130B
12382,2014,5.0,3476.1405210014354,H2160,H2160
12382,2014,6.0,52904.24098662803,H2180A,H2180Ao
20247,2014,,27753.03838145667,H0000,H0000
20247,2014,3.0,1269.8026176262217,H2130A,H2130A
20247,2014,3.0,12.953587277796077,H2130A,ZGH2130A
20247,2014,4.0,45058.02992711218,H2130B,H2130B
20247,2014,5.0,44846.95740240285,H2160,H2160
20247,2014,6.0,162411.7023462657,H2180A,H2180Ao
20247,2014,7.0,996.2156647670294,H2180C,H2180C
20247,2014,11.0,1556.5937891182227,H2190D,H2190D
20758,2014,,233602.01692467078,H0000,H0000
20758,2014,1.0,4473.3055943200025,H2110,H2110
20758,2014,2.0,41977.413199530805,H2120,H2120
20758,2014,3.0,70558.25459281246,H2130A,H2130A
20758,2014,4.0,2065.6077494136666,H2130B,H2130B
20758,2014,5.0,50461.262289856946,H2160,H2160
20758,2014,5.0,5911.946974113131,H2160,ZGH2160
20758,2014,6.0,1090.0695333595775,H2180A,H2180Ao
20758,2014,7.0,64537.79391625929,H2180C,H2180C
20758,2014,8.0,3627.1596900524364,H2190A,H2190Ae
20758,2014,11.0,199.85445028233028,H2190D,H2190D
27371,2014,,43569.0954710047,H0000,H0000
27371,2014,3.0,5361.874871528531,H2130A,H2130A
27371,2014,4.0,43663.64423814435,H2130B,H2130B
27371,2014,5.0,25642.84126797765,H2160,H2160
27371,2014,5.0,9.491289538548415,H2160,ZGH2160
27371,2014,6.0,21776.921506336468,H2180A,H2180Abe
27371,2014,6.0,305592.4864354229,H2180A,H2180Ao
27371,2014,7.0,1894.2557459264578,H2180C,H2180C
29455,2014,,19095.043866042084,H0000,H0000
29455,2014,3.0,10629.630113757246,H2130A,H2130A
29455,2014,4.0,39063.33309222325,H2130B,H2130B
29455,2014,5.0,41002.11629354365,H2160,H2160
29455,2014,6.0,345053.77439604624,H2180A,H2180Ao
29455,2014,13.0,166.53544472462735,H2180B,H2180B
29455,2014,7.0,159.10064245612443,H2180C,H2180C
29455,2014,9.0,1532.1160255441,H2190B,H2190B
29455,2014,10.0,537.0869537344944,H2190C,H2190C
29456,2014,,16331.075503736078,H0000,H0000
29456,2014,3.0,31534.124554154474,H2130A,H2130A
29456,2014,4.0,406.3602494606081,H2130B,H2130B
29456,2014,5.0,24700.33656362703,H2160,H2160
29456,2014,6.0,27018.895981459442,H2180A,H2180Ao
29456,2014,13.0,2883.217454678418,H2180B,H2180B
29456,2014,11.0,14.277713933190464,H2190D,H2190D
29457,2014,,32216.857950016198,H0000,H0000
29457,2014,3.0,14621.370553972267,H2130A,H2130A
29457,2014,4.0,219444.0579735195,H2130B,H2130B
29457,2014,5.0,32551.416558808378,H2160,H2160
29457,2014,6.0,96077.01106574053,H2180A,H2180Ao
29459,2014,,76367.86685314814,H0000,H0000
