plot_id,jaar,habitat_id,aandeel_m2
3527,2014,4.0,146935.29216635108
3527,2014,5.0,96503.47938643691
3527,2014,6.0,5597.751671934453
3527,2014,6.0,97380.31218133811
3527,2014,13.0,6355.190761060464
3527,2014,7.0,15960.690848839542
3527,2014,8.0,140.0817820167277
3527,2014,12.0,77.0011685706783
3528,2014,3.0,1605.6871129289066
3528,2014,4.0,6578.251565905893
3528,2014,5.0,10494.634285085622
3528,2014,6.0,867.0846696956221
3528,2014,13.0,5890.085569971285
3528,2014,7.0,1039.9143878290038
3528,2014,8.0,738.9724992017656
3528,2014,9.0,8980.282394353557
3528,2014,11.0,2445.9133692139085
3528,2014,12.0,141.894413552958
3529,2014,2.0,139.1595663472204
3529,2014,3.0,66784.70811448335
3529,2014,3.0,1586.8069627683055
3529,2014,4.0,228.28417654915648
3529,2014,5.0,75235.14635332332
3529,2014,6.0,4401.5049396230315
3529,2014,13.0,10626.745076392748
3529,2014,8.0,1153.3510769174509
3529,2014,8.0,2216.8033271840213
3529,2014,9.0,4580.644353938287
3530,2014,3.0,31291.484702192924
3530,2014,4.0,81033.86019429329
3530,2014,5.0,209331.3030050886
3530,2014,6.0,71601.90759456684
3531,2014,2.0,154.90071656194115
3531,2014,3.0,111943.81897500368
3531,2014,4.0,117862.05686130413
3531,2014,5.0,89973.39027820811
3531,2014,6.0,1552.6604259370831
3531,2014,6.0,102684.87350857016
3531,2014,13.0,12.211632967780188
3531,2014,7.0,9498.18209047254
3532,2014,2.0,11025.94972257994
3532,2014,3.0,58678.9108573429
3532,2014,3.0,837.4071109983729
3532,2014,4.0,5635.694397816594
3532,2014,5.0,31818.265826663992
3532,2014,5.0,3221.1340400963604
3532,2014,6.0,15626.696598698689
3532,2014,7.0,42351.07476357677
3532,2014,8.0,31213.684334197504
3532,2014,9.0,794.6308427193042
3532,2014,11.0,345.0412524701601
3533,2014,1.0,111.03344309057628
3533,2014,2.0,54120.402547762606
3533,2014,3.0,155698.6246366878
3533,2014,4.0,46977.19172103895
3533,2014,5.0,85552.0819833992
3533,2014,6.0,3465.4429223099523
3533,2014,13.0,3454.0742359366595
3533,2014,8.0,398.98395622204544
3533,2014,9.0,1030.9527918027218
3533,2014,11.0,135.4805467368027
3534,2014,2.0,420.48588584249114
3534,2014,3.0,34689.915063204324
3534,2014,4.0,21018.904827580343
3534,2014,5.0,100510.50923547387
3534,2014,6.0,83812.57534038406
3534,2014,13.0,24000.831829239956
3534,2014,7.0,24169.47875153927
3534,2014,11.0,23591.338068898967
3581,2014,3.0,25781.862752515317
3581,2014,4.0,24750.42186974076
3581,2014,5.0,44998.93340114989
3581,2014,6.0,77094.82841482823
3581,2014,13.0,2315.460067421763
3581,2014,7.0,10285.511004324895
3583,2014,3.0,3418.869142036789
3583,2014,4.0,11255.859837148091
3583,2014,5.0,16405.993699400096
3583,2014,6.0,15.706179593142348
