"plot_id","plot_label","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","soort_id","soort_naam","modelstatus"
"3522","M61",0,0,46,0,0,240,"Barmsijs","alleen_beschrijvend"
"3523","M2",0,0,94,0,0,240,"Barmsijs","alleen_beschrijvend"
"3524","M15",0,0,139,0,0,240,"Barmsijs","alleen_beschrijvend"
"3525","M16",0,0,131,0,0,240,"Barmsijs","alleen_beschrijvend"
"3526","M72",0,0,123,0,0,240,"Barmsijs","alleen_beschrijvend"
"3527","M73",0,0,106,0,0,240,"Barmsijs","alleen_beschrijvend"
"3528","M74",0,0,140,0,0,240,"Barmsijs","alleen_beschrijvend"
"3529","M17b",0,0,133,0,0,240,"Barmsijs","alleen_beschrijvend"
"3530","M8",0,0,76,0,0,240,"Barmsijs","alleen_beschrijvend"
"3531","M75",0,0,137,0,0,240,"Barmsijs","alleen_beschrijvend"
"3532","M77",0,0,142,0,0,240,"Barmsijs","alleen_beschrijvend"
"3533","M36",0,0,56,0,0,240,"Barmsijs","alleen_beschrijvend"
"3534","M1a",20,2,91,0.21978021978022,0.021978021978022,240,"Barmsijs","alleen_beschrijvend"
"3581","M4-5",21,4,98,0.214285714285714,0.0408163265306122,240,"Barmsijs","alleen_beschrijvend"
"3583","M75a",0,0,55,0,0,240,"Barmsijs","alleen_beschrijvend"
"9917","M51",0,0,11,0,0,240,"Barmsijs","alleen_beschrijvend"
"10626","M43",0,0,42,0,0,174,"Beflijster","alleen_beschrijvend"
"12381","M54a",0,0,39,0,0,174,"Beflijster","alleen_beschrijvend"
"12382","M54b",0,0,2,0,0,174,"Beflijster","alleen_beschrijvend"
"20247","M52",0,0,19,0,0,174,"Beflijster","alleen_beschrijvend"
"20758","M78/79",0,0,9,0,0,174,"Beflijster","alleen_beschrijvend"
"27371","M53",0,0,27,0,0,174,"Beflijster","alleen_beschrijvend"
"29455","M55",0,0,9,0,0,174,"Beflijster","alleen_beschrijvend"
"29456","M16s",0,0,33,0,0,174,"Beflijster","alleen_beschrijvend"
"29457","M42",0,0,62,0,0,174,"Beflijster","alleen_beschrijvend"
"29459","M31",0,0,3,0,0,174,"Beflijster","alleen_beschrijvend"
"3490","M33",1,1,76,0.0131578947368421,0.0131578947368421,174,"Beflijster","alleen_beschrijvend"
"3496","M34",0,0,37,0,0,174,"Beflijster","alleen_beschrijvend"
"3497","M83",15,1,135,0.111111111111111,0.00740740740740741,174,"Beflijster","alleen_beschrijvend"
"3498","M7",0,0,128,0,0,174,"Beflijster","alleen_beschrijvend"
"3500","M46",0,0,31,0,0,174,"Beflijster","alleen_beschrijvend"
"3501","M71",0,0,118,0,0,174,"Beflijster","alleen_beschrijvend"
"3502","M10-12-76",6,3,85,0.0705882352941176,0.0352941176470588,174,"Beflijster","alleen_beschrijvend"
"3504","M3",0,0,118,0,0,174,"Beflijster","alleen_beschrijvend"
"3505","M1b",0,0,62,0,0,174,"Beflijster","alleen_beschrijvend"
"3506","M13s",2,2,151,0.0132450331125828,0.0132450331125828,174,"Beflijster","alleen_beschrijvend"
"3507","M45",1,1,49,0.0204081632653061,0.0204081632653061,174,"Beflijster","alleen_beschrijvend"
"3508","M32",0,0,90,0,0,174,"Beflijster","alleen_beschrijvend"
"3509","M63",0,0,52,0,0,174,"Beflijster","alleen_beschrijvend"
"3510","M85",0,0,34,0,0,174,"Beflijster","alleen_beschrijvend"
"3511","M13",4,1,75,0.0533333333333333,0.0133333333333333,174,"Beflijster","alleen_beschrijvend"
"3512","M14",8,2,140,0.0571428571428571,0.0142857142857143,174,"Beflijster","alleen_beschrijvend"
"3513","M17a",0,0,133,0,0,174,"Beflijster","alleen_beschrijvend"
"3515","M35",0,0,23,0,0,174,"Beflijster","alleen_beschrijvend"
"3516","M64",1,1,93,0.010752688172043,0.010752688172043,174,"Beflijster","alleen_beschrijvend"
"3517","M84",0,0,75,0,0,174,"Beflijster","alleen_beschrijvend"
"3518","M65",0,0,12,0,0,174,"Beflijster","alleen_beschrijvend"
"3519","M12a",0,0,65,0,0,174,"Beflijster","alleen_beschrijvend"
"3520","M62",0,0,56,0,0,174,"Beflijster","alleen_beschrijvend"
"3521","M6",0,0,102,0,0,174,"Beflijster","alleen_beschrijvend"
"3522","M61",1,1,46,0.0217391304347826,0.0217391304347826,174,"Beflijster","alleen_beschrijvend"
"3523","M2",1,1,94,0.0106382978723404,0.0106382978723404,174,"Beflijster","alleen_beschrijvend"
"3524","M15",1,1,139,0.00719424460431655,0.00719424460431655,174,"Beflijster","alleen_beschrijvend"
"3525","M16",4,1,131,0.0305343511450382,0.00763358778625954,174,"Beflijster","alleen_beschrijvend"
"3526","M72",0,0,123,0,0,174,"Beflijster","alleen_beschrijvend"
"3527","M73",3,2,106,0.0283018867924528,0.0188679245283019,174,"Beflijster","alleen_beschrijvend"
"3528","M74",1,1,140,0.00714285714285714,0.00714285714285714,174,"Beflijster","alleen_beschrijvend"
"3529","M17b",0,0,133,0,0,174,"Beflijster","alleen_beschrijvend"
"3530","M8",3,3,76,0.0394736842105263,0.0394736842105263,174,"Beflijster","alleen_beschrijvend"
"3531","M75",0,0,137,0,0,174,"Beflijster","alleen_beschrijvend"
"3532","M77",1,1,142,0.00704225352112676,0.00704225352112676,174,"Beflijster","alleen_beschrijvend"
