"soort_id","soort_naam","seizoen_start","seizoen","index","index_ondergrens","index_bovengrens","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","totaal_aantal","gemiddeld_per_bezoek","waarnemingsfrequentie","geldige_bezoeken","geldige_plots","detecties","modelstatus","weergavetype"
98,"Tureluur",2021,"21/22",,,,,,,,,,0,0,0,170,33,0,"alleen_beschrijvend","beschrijvend"
98,"Tureluur",2022,"22/23",,,,,,,,,,0,0,0,182,37,0,"alleen_beschrijvend","beschrijvend"
98,"Tureluur",2023,"23/24",,,,,,,,,,0,0,0,190,37,0,"alleen_beschrijvend","beschrijvend"
98,"Tureluur",2024,"24/25",,,,,,,,,,0,0,0,174,34,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2000,"00/01",,,,,,,,,,0,0,0,104,21,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2001,"01/02",,,,,,,,,,10,0.072992700729927,0.0291970802919708,137,24,4,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2002,"02/03",,,,,,,,,,8,0.0555555555555556,0.0277777777777778,144,23,4,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2003,"03/04",,,,,,,,,,10,0.075187969924812,0.0225563909774436,133,24,3,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2004,"04/05",,,,,,,,,,5,0.0342465753424658,0.0136986301369863,146,25,2,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2005,"05/06",,,,,,,,,,9,0.0638297872340425,0.0283687943262411,141,24,4,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2006,"06/07",,,,,,,,,,11,0.0774647887323944,0.0492957746478873,142,22,7,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2007,"07/08",,,,,,,,,,0,0,0,127,20,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2008,"08/09",,,,,,,,,,0,0,0,142,24,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2009,"09/10",,,,,,,,,,0,0,0,140,27,0,"alleen_beschrijvend","beschrijvend"
124,"Turkse Tortel",2010,"10/11",,,,,,,,,,0,0,0,130,27,0,"alleen_beschrijvend","beschrijvend"
