"maand","totaal_aantal","detecties","geldige_bezoeken","gemiddeld_per_bezoek","waarnemingsfrequentie","schatting_aantal","ondergrens_aantal","bovengrens_aantal","schatting_detectie","ondergrens_detectie","bovengrens_detectie","maandindex","soort_id","soort_naam","modelstatus","weergavetype"
"nov",2,2,570,0.00350877192982456,0.00350877192982456,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
"okt",0,0,547,0,0,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
"sep",0,0,508,0,0,,,,,,,,635,"Bruine boszanger","alleen_beschrijvend","beschrijvend"
"dec",3,1,563,0.00532859680284192,0.00177619893428064,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"mrt",3,2,451,0.00665188470066519,0.00443458980044346,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"nov",2,2,570,0.00350877192982456,0.00350877192982456,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"okt",1,1,547,0.00182815356489945,0.00182815356489945,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"sep",9,9,508,0.0177165354330709,0.0177165354330709,,,,,,,,57,"Bruine Kiekendief","alleen_beschrijvend","beschrijvend"
"dec",448,303,563,0.795737122557726,0.538188277087034,0.691608298187521,0.544939307871195,0.866839765228852,0.549828692881642,0.462318468117416,0.638862459121897,94.6560687117552,62,"Buizerd","indicatief","modelindex"
"feb",446,300,556,0.802158273381295,0.539568345323741,0.719030077758934,0.563780417774916,0.887474105896244,0.566983807409789,0.477926365443908,0.660816368889198,98.409114848004,62,"Buizerd","indicatief","modelindex"
"jan",450,308,562,0.800711743772242,0.548042704626335,0.704914627372406,0.558479919548317,0.89293646773303,0.564079933187579,0.480488298477249,0.651614088398692,96.4772221203053,62,"Buizerd","indicatief","modelindex"
"mrt",299,196,451,0.662971175166297,0.434589800443459,0.597758552475424,0.475359147670129,0.737659889543932,0.446232444530614,0.358791780913162,0.537742497755695,81.8114455312849,62,"Buizerd","indicatief","modelindex"
"nov",502,334,570,0.880701754385965,0.585964912280702,0.774630485195189,0.6125962240138,0.970650512914426,0.609025615326993,0.528898192272995,0.697210223209031,106.018792176168,62,"Buizerd","indicatief","modelindex"
"okt",495,300,547,0.904936014625229,0.548446069469835,0.815068272111009,0.641574855114144,1.04354142243475,0.579584375978726,0.490640618174146,0.660226492141059,111.553257200498,62,"Buizerd","indicatief","modelindex"
"sep",456,283,508,0.89763779527559,0.557086614173228,0.811567286836772,0.635794104756255,1.01257702063161,0.583449054420777,0.49852619247809,0.670758213529818,111.074099411985,62,"Buizerd","indicatief","modelindex"
"dec",51,29,563,0.0905861456483126,0.0515097690941385,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"feb",70,34,556,0.12589928057554,0.0611510791366906,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"jan",30,19,562,0.0533807829181495,0.0338078291814947,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"mrt",128,47,451,0.283813747228381,0.104212860310421,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"nov",131,55,570,0.229824561403509,0.0964912280701754,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"okt",157,54,547,0.287020109689214,0.0987202925045704,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"sep",117,39,508,0.230314960629921,0.0767716535433071,,,,,,,,180,"Cetti's Zanger","alleen_beschrijvend","beschrijvend"
"dec",645,193,563,1.14564831261101,0.342806394316163,0.056776915274581,0.0144781400496934,0.162914657268485,0.0529090894064225,0.0123892938412536,0.152020720165905,83.930358247459,1,"Dodaars","indicatief","modelindex"
"feb",668,192,556,1.20143884892086,0.345323741007194,0.0648970822918293,0.0168698039878794,0.191142441082751,0.0562033814013463,0.013081093585549,0.164478291417296,95.9339784422316,1,"Dodaars","indicatief","modelindex"
"jan",483,165,562,0.859430604982206,0.293594306049822,0.045703142332733,0.0119495621821867,0.129130490453329,0.0378473942984972,0.00834774445776417,0.114748917218356,67.5605761685015,1,"Dodaars","indicatief","modelindex"
"mrt",544,170,451,1.20620842572062,0.376940133037694,0.070934479396879,0.0179065023119866,0.213381498849242,0.0716234246379042,0.0175199898584603,0.189373419334616,104.858748297346,1,"Dodaars","indicatief","modelindex"
"nov",765,210,570,1.34210526315789,0.368421052631579,0.0693077640410038,0.0183016179712633,0.203729044880258,0.0615310353657565,0.0143883134121054,0.185828506635095,102.454059667734,1,"Dodaars","indicatief","modelindex"
"okt",827,209,547,1.51188299817185,0.382084095063985,0.078129939539439,0.0204470301778923,0.237840809792955,0.0721919796285175,0.0160507551151138,0.190429920327342,115.495422456197,1,"Dodaars","indicatief","modelindex"
"sep",854,178,508,1.68110236220472,0.350393700787402,0.0877842294887776,0.0223207160371445,0.258173846550797,0.0566638676829902,0.0131704694933272,0.15714565302824,129.766856720531,1,"Dodaars","indicatief","modelindex"
"dec",0,0,563,0,0,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
"feb",0,0,556,0,0,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
"jan",0,0,562,0,0,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
"mrt",0,0,451,0,0,,,,,,,,141,"Draaihals","alleen_beschrijvend","beschrijvend"
