"groep_100","jaar","log_index_spliced","msi","periode","n_soorten","density_per_km2","korte_beschrijving","post_break","log_msi","gam_fit_log","gam_fit_se","gam_fit_msi","gam_fit_lower","gam_fit_upper"
100,1986,4.62964832192998,102.478018500874,"1984-2025",13,120.812840209518,"Watervogels","post",4.62964832192998,4.55948451322826,0.0616513230495027,95.5342205079719,84.6603966295117,107.804683788645
100,1987,4.3430790259546,76.9440878254165,"1984-2025",13,110.702433741637,"Watervogels","post",4.3430790259546,4.53126257518145,0.0561564025816543,92.8757497033555,83.1957301436499,103.68206238549
100,1988,4.52684713003615,92.4665659542034,"1984-2025",13,111.659304653229,"Watervogels","post",4.52684713003615,4.502958985038,0.0516035107327846,90.2838851108379,81.5989263168486,99.8932250536723
100,1989,4.61354777491355,100.841277912459,"1984-2025",13,115.487623669911,"Watervogels","post",4.61354777491355,4.47453676341372,0.0479635585289725,87.7539401571523,79.8802140906143,96.4037728337772
100,1990,4.49438165022853,89.5128016482768,"1984-2025",14,138.821899198264,"Watervogels","post",4.49438165022853,4.44595744548921,0.0451853995450999,85.2814911399489,78.0534667004691,93.1788559624536
100,1991,4.22151837316205,68.1368629699313,"1984-2025",14,102.395459351276,"Watervogels","post",4.22151837316205,4.41718375501116,0.0431902388200507,82.8625950801037,76.1367364026642,90.1826107583062
100,1992,4.40572392906932,81.9184245115341,"1984-2025",14,119.722674657399,"Watervogels","post",4.40572392906932,4.38818258724919,0.0418680736619299,80.4939951513615,74.152305677292,87.3780416704101
100,1993,4.46140918245069,86.6094716899427,"1984-2025",14,119.722674657399,"Watervogels","post",4.46140918245069,4.35892813056965,0.0410815327917095,78.1732979319019,72.1255482580811,84.7281532985117
100,1994,4.65284188446764,104.882626753773,"1984-2025",13,130.324818870929,"Watervogels","post",4.65284188446764,4.32940493689436,0.0406791818059759,75.8991083694386,70.0825435245266,82.1984243374348
100,1995,4.24437332823708,69.7120598730127,"1984-2025",14,119.836248658154,"Watervogels","post",4.24437332823708,4.2996107442482,0.0405150194804939,73.6711112137654,68.0471812211192,79.7598450086353
100,1996,4.34485952965262,77.0812090945686,"1984-2025",14,123.260574104869,"Watervogels","post",4.34485952965262,4.26955886058222,0.0404677512201345,71.4900915646978,66.0387749124914,77.3913991999593
100,1997,4.09936721397047,60.3021171844781,"1984-2025",14,93.0782917659909,"Watervogels","post",4.09936721397047,4.23927993685963,0.0404540693304709,69.3578917923462,64.0708793873497,75.081178842515
100,1998,4.08059714864296,59.1807990342778,"1984-2025",14,94.1726209586548,"Watervogels","post",4.08059714864296,4.20882298784791,0.0404328450467358,67.277306982385,62.1514787898072,72.8258783690337
100,1999,4.04171272086255,56.9237538634976,"1984-2025",14,95.8689989265233,"Watervogels","post",4.04171272086255,4.17825555917148,0.0403997934391752,65.2519257496233,60.2843156160965,70.6288819989103
100,2000,4.25113239658956,70.184844442368,"1984-2025",13,96.6373628274727,"Watervogels","post",4.25113239658956,4.14766298626793,0.0403742850384249,63.2859272601013,58.4709112857338,68.4974545650366
100,2001,4.30924873377815,74.3845853173474,"1984-2025",13,92.5617141391279,"Watervogels","post",4.30924873377815,4.11714674180811,0.040381875485982,61.3838481934274,56.7127053487066,66.439729790102
100,2002,4.36924534254396,78.9840033358747,"1984-2025",12,84.0495333054451,"Watervogels","post",4.36924534254396,4.08682191951393,0.0404376981426186,59.5503348930285,55.0126979912896,64.4622517229267
100,2003,3.86960085549556,47.9232539593798,"1984-2025",13,73.7027780025337,"Watervogels","post",3.86960085549556,4.05681395079831,0.0405361674572012,57.7898960051751,53.3760990577233,62.568680350306
100,2004,3.95734895306677,52.31844328958,"1984-2025",12,70.0015467927995,"Watervogels","post",3.95734895306677,4.02725469320443,0.0406505263745377,56.1066696023468,51.8098176645402,60.7598813462229
100,2005,3.78553561257832,44.0592629354187,"1984-2025",12,57.771391491069,"Watervogels","post",3.78553561257832,3.99827806368918,0.0407420016021588,54.5042163931811,50.3210631800797,59.0351120763026
100,2006,4.28275523684617,72.439753981932,"1984-2025",11,68.5763032053314,"Watervogels","post",4.28275523684617,3.97001541351547,0.0407745579551084,52.985347523856,48.915644802468,57.3936429451329
100,2007,4.232000385856,68.8548307323718,"1984-2025",12,78.6189770910988,"Watervogels","post",4.232000385856,3.94259085383399,0.0407293484757852,51.5519921042666,47.5966000336339,55.8360867801561
100,2008,3.72025830842862,41.2750544261767,"1984-2025",13,67.1024555919395,"Watervogels","post",3.72025830842862,3.91611674174225,0.0406134325409298,50.2051063549295,46.3635881937918,54.3649187283414
100,2009,3.86851628497725,47.8713059867063,"1984-2025",13,84.0284520204898,"Watervogels","post",3.86851628497725,3.89068952634463,0.040459477970983,48.9446234984591,45.2131941186279,52.9840064632579
100,2010,3.53159610536123,34.1784765518421,"1984-2025",14,68.0646440654559,"Watervogels","post",3.53159610536123,3.86638613448553,0.0403161965773253,47.769441432652,44.139999486448,51.6973167498151
100,2011,3.75667898533106,42.8060302061797,"1984-2025",12,65.8940176032318,"Watervogels","post",3.75667898533106,3.84326104838526,0.0402327564287734,46.67744391832,43.1380244413369,50.5072682155583
100,2012,3.5939278599768,36.3766781806078,"1984-2025",13,66.0490623505335,"Watervogels","post",3.5939278599768,3.82134419479065,0.0402436446076948,45.6655504787736,42.2019594048904,49.4134047313397
100,2013,3.71004077006269,40.8554721731974,"1984-2025",13,68.8398678019645,"Watervogels","post",3.71004077006269,3.80063973008455,0.0403618073351629,44.7297903348692,41.3276012426877,48.4120559442186
100,2014,3.67215054864136,39.3364098254988,"1984-2025",13,69.4600467911714,"Watervogels","post",3.67215054864136,3.78112577069289,0.0405857098440041,43.8653963270022,40.511171654619,47.497342494304
