"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving","index_raw","index_spliced","bridge_factor"
300,2010,49,6.44975091,7.59719261778437,"1984-2025","Vogels van pionierbegroeiingen",43.7908376395717,21.775586786625,0.497263536401217
300,2011,59,6.44975091,9.14764009080158,"1984-2025","Vogels van pionierbegroeiingen",52.7277432803006,26.2195840900178,0.497263536401217
300,2012,53,6.44975091,8.21737160699125,"1984-2025","Vogels van pionierbegroeiingen",47.3655998958633,23.5531857079821,0.497263536401217
300,2013,53,6.44975091,8.21737160699125,"1984-2025","Vogels van pionierbegroeiingen",47.3655998958633,23.5531857079821,0.497263536401217
300,2014,69,6.44975091,10.6980875638188,"1984-2025","Vogels van pionierbegroeiingen",61.6646489210296,30.6635813934107,0.497263536401217
300,2015,81,6.57225335,12.3245401061723,"1984-2025","Vogels van pionierbegroeiingen",71.0396539780213,35.3254295618297,0.497263536401217
300,2016,93,6.44975091,14.4191614990601,"1984-2025","Vogels van pionierbegroeiingen",83.113222458779,41.3291749215535,0.497263536401217
300,2017,100,6.57225335,15.2154816125583,"1984-2025","Vogels van pionierbegroeiingen",87.7032765160757,43.6116414343576,0.497263536401217
300,2018,97,6.57225335,14.7590171641816,"1984-2025","Vogels van pionierbegroeiingen",85.0721782205934,42.3032921913269,0.497263536401217
300,2019,104,6.10857011,17.0252609247698,"1984-2025","Vogels van pionierbegroeiingen",98.1349920209568,48.7989531770462,0.497263536401217
300,2020,126,6.44975091,19.5356381600169,"1984-2025","Vogels van pionierbegroeiingen",112.605011073184,55.9943660227499,0.497263536401217
300,2021,125,6.57225335,19.0193520156979,"1984-2025","Vogels van pionierbegroeiingen",109.629095645095,54.5145517929471,0.497263536401217
300,2022,104,6.14314649,16.9294351305629,"1984-2025","Vogels van pionierbegroeiingen",97.5826443305774,48.5242908112051,0.497263536401217
300,2023,124,6.57225335,18.8671971995724,"1984-2025","Vogels van pionierbegroeiingen",108.752062879934,54.0784353786035,0.497263536401217
300,2024,124,6.57225335,18.8671971995723,"1984-2025","Vogels van pionierbegroeiingen",108.752062879934,54.0784353786035,0.497263536401217
300,2025,126,6.57225335,19.1715068318235,"1984-2025","Vogels van pionierbegroeiingen",110.506128410255,54.9506682072906,0.497263536401217
400,1958,113,4.3072,26.2351411589896,"1958-1983","Vogels van open heide",134.731601036879,134.731601036879,0.37916435173517
400,1959,135,5.0372,26.8006035098865,"1958-1983","Vogels van open heide",137.635555218056,137.635555218056,0.37916435173517
400,1960,111,5.022,22.1027479091995,"1958-1983","Vogels van open heide",113.509532694112,113.509532694112,0.37916435173517
