"jaar","groep_100","soort_id","soort_naam","territoria","surveyed_km2","density_per_km2","periode","index_raw","bridge_factor","index_spliced","log_index_spliced"
2008,800,198,"Tjiftjaf",171,6.02064405,28.4022769955982,"1984-2025",107.377578436703,29.1812983157483,3133.4171487841,8.04987942884417
2009,800,198,"Tjiftjaf",156,5.98606767,26.0605139467125,"1984-2025",98.5243148233367,29.1812983157483,2875.06742221449,7.96383140416152
2010,800,198,"Tjiftjaf",188,6.44975091,29.1484124927237,"1984-2025",110.19841645893,29.1812983157483,3215.73286461111,8.07581056236222
2011,800,198,"Tjiftjaf",215,6.44975091,33.3346206698702,"1984-2025",126.02478478016,29.1812983157483,3677.56683984782,8.21000662765993
2012,800,198,"Tjiftjaf",200,6.44975091,31.0089494603444,"1984-2025",117.232357935032,29.1812983157483,3420.99240916076,8.1376859660803
2013,800,198,"Tjiftjaf",182,6.44975091,28.2181440089134,"1984-2025",106.681445720879,29.1812983157483,3113.10309233629,8.04337528660906
2014,800,198,"Tjiftjaf",223,6.44975091,34.574978648284,"1984-2025",130.714079097561,29.1812983157483,3814.40653621425,8.24654037099239
2015,800,198,"Tjiftjaf",231,6.57225335,35.1477625250098,"1984-2025",132.87954441078,29.1812983157483,3877.5976255117,8.26297107217068
2016,800,198,"Tjiftjaf",183,6.44975091,28.3731887562151,"1984-2025",107.267607510554,29.1812983157483,3130.20805438209,8.04885475237369
2017,800,198,"Tjiftjaf",186,6.57225335,28.3007957993585,"1984-2025",106.993918876212,29.1812983157483,3122.22146469773,8.04630003536209
2018,800,198,"Tjiftjaf",163,6.57225335,24.8012350284701,"1984-2025",93.7634880474335,29.1812983157483,2736.14031583726,7.91430356245565
2019,800,198,"Tjiftjaf",187,6.10857011,30.6127287781919,"1984-2025",115.73440700023,29.1812983157483,3377.28025606994,8.1248260065986
2020,800,198,"Tjiftjaf",200,6.44975091,31.0089494603444,"1984-2025",117.232357935032,29.1812983157483,3420.99240916076,8.1376859660803
2021,800,198,"Tjiftjaf",212,6.57225335,32.2568210186237,"1984-2025",121.950058073963,29.1812983157483,3558.66102427913,8.1771396363209
2022,800,198,"Tjiftjaf",236,6.14314649,38.4167951039696,"1984-2025",145.238440925091,29.1812983157483,4238.24627154927,8.351904847463
2023,800,198,"Tjiftjaf",277,6.57225335,42.1468840667866,"1984-2025",159.340406068338,29.1812983157483,4649.75992323264,8.44457086783622
2024,800,198,"Tjiftjaf",313,6.57225335,47.6244574473076,"1984-2025",180.048906495992,29.1812983157483,5254.06085188381,8.56675655218904
2025,800,198,"Tjiftjaf",339,6.57225335,51.5804826665728,"1984-2025",195.005045693742,29.1812983157483,5690.50041146521,8.64655346902933
1958,600,200,"Fitis",142,4.3072,32.9680534918276,"1958-1983",43.0372182651847,1.090799001896,43.0372182651847,3.76206528237972
1958,700,200,"Fitis",142,4.3072,32.9680534918276,"1958-1983",43.0372182651847,1.090799001896,43.0372182651847,3.76206528237972
1959,600,200,"Fitis",269,5.0372,53.4026840308108,"1958-1983",69.7130320159914,1.090799001896,69.7130320159914,4.24438727325896
1959,700,200,"Fitis",269,5.0372,53.4026840308108,"1958-1983",69.7130320159914,1.090799001896,69.7130320159914,4.24438727325896
1960,600,200,"Fitis",284,5.022,56.5511748307447,"1958-1983",73.8231407852662,1.090799001896,73.8231407852662,4.30167224323249
1960,700,200,"Fitis",284,5.022,56.5511748307447,"1958-1983",73.8231407852662,1.090799001896,73.8231407852662,4.30167224323249
1961,600,200,"Fitis",285,5.002,56.9772091163535,"1958-1983",74.3792952619854,1.090799001896,74.3792952619854,4.3091776136199
1961,700,200,"Fitis",285,5.002,56.9772091163535,"1958-1983",74.3792952619854,1.090799001896,74.3792952619854,4.3091776136199
1962,600,200,"Fitis",246,5.002,49.1803278688525,"1958-1983",64.2010759103453,1.090799001896,64.2010759103453,4.16201996928361
1962,700,200,"Fitis",246,5.002,49.1803278688525,"1958-1983",64.2010759103453,1.090799001896,64.2010759103453,4.16201996928361
1963,600,200,"Fitis",248,5.2472,47.2633023326727,"1958-1983",61.6985488369481,1.090799001896,61.6985488369481,4.12226041097427
1963,700,200,"Fitis",248,5.2472,47.2633023326727,"1958-1983",61.6985488369481,1.090799001896,61.6985488369481,4.12226041097427
