"groep_100","jaar","territoria","surveyed_km2","density_per_km2","periode","korte_beschrijving"
200,2004,344,6.2141484,55.357545049938,"1984-2025","Rietvogels"
200,2005,312,6.2141484,50.2080059755251,"1984-2025","Rietvogels"
200,2006,278,5.65793112,49.1345677605209,"1984-2025","Rietvogels"
200,2007,305,6.1308353,49.748522848102,"1984-2025","Rietvogels"
200,2008,204,6.02064405,33.8834181701873,"1984-2025","Rietvogels"
200,2009,234,5.98606767,39.0907709200688,"1984-2025","Rietvogels"
200,2010,258,6.44975091,40.0015448038442,"1984-2025","Rietvogels"
200,2011,254,6.44975091,39.3813658146373,"1984-2025","Rietvogels"
200,2012,237,6.44975091,36.7456051105081,"1984-2025","Rietvogels"
200,2013,207,6.44975091,32.0942626914564,"1984-2025","Rietvogels"
200,2014,235,6.44975091,36.4355156159046,"1984-2025","Rietvogels"
200,2015,255,6.57225335,38.7994781120238,"1984-2025","Rietvogels"
200,2016,209,6.44975091,32.4043521860599,"1984-2025","Rietvogels"
200,2017,226,6.57225335,34.3869884443819,"1984-2025","Rietvogels"
200,2018,214,6.57225335,32.5611306508749,"1984-2025","Rietvogels"
200,2019,256,6.10857011,41.9083345840488,"1984-2025","Rietvogels"
200,2020,269,6.44975091,41.7070370241632,"1984-2025","Rietvogels"
200,2021,261,6.57225335,39.7124070087773,"1984-2025","Rietvogels"
200,2022,196,6.14314649,31.905473899907,"1984-2025","Rietvogels"
200,2023,247,6.57225335,37.5822395830191,"1984-2025","Rietvogels"
200,2024,215,6.57225335,32.7132854670004,"1984-2025","Rietvogels"
200,2025,228,6.57225335,34.691298076633,"1984-2025","Rietvogels"
300,1958,125,4.3072,29.0211738484398,"1958-1983","Vogels van pionierbegroeiingen"
300,1959,157,5.0372,31.1681092670531,"1958-1983","Vogels van pionierbegroeiingen"
300,1960,131,5.022,26.0852250099562,"1958-1983","Vogels van pionierbegroeiingen"
300,1961,163,5.002,32.5869652139144,"1958-1983","Vogels van pionierbegroeiingen"
300,1962,146,5.002,29.188324670132,"1958-1983","Vogels van pionierbegroeiingen"
300,1963,108,5.2472,20.582405854551,"1958-1983","Vogels van pionierbegroeiingen"
300,1964,109,5.3272,20.4610301847124,"1958-1983","Vogels van pionierbegroeiingen"
300,1965,106,5.315,19.9435559736595,"1958-1983","Vogels van pionierbegroeiingen"
300,1966,123,5.395,22.7988878591288,"1958-1983","Vogels van pionierbegroeiingen"
300,1967,133,5.735,23.1909328683522,"1958-1983","Vogels van pionierbegroeiingen"
300,1968,166,5.6,29.6428571428571,"1958-1983","Vogels van pionierbegroeiingen"
300,1969,127,5.6,22.6785714285714,"1958-1983","Vogels van pionierbegroeiingen"
300,1970,138,5.625,24.5333333333333,"1958-1983","Vogels van pionierbegroeiingen"
300,1971,142,5.615,25.2894033837934,"1958-1983","Vogels van pionierbegroeiingen"
300,1972,151,5.645,26.7493356953056,"1958-1983","Vogels van pionierbegroeiingen"
300,1973,168,5.715,29.3963254593176,"1958-1983","Vogels van pionierbegroeiingen"
300,1974,158,5.855,26.9854824935952,"1958-1983","Vogels van pionierbegroeiingen"
300,1975,190,5.505,34.5140781108083,"1958-1983","Vogels van pionierbegroeiingen"
300,1976,203,6.49,31.2788906009245,"1958-1983","Vogels van pionierbegroeiingen"
300,1977,195,6.175,31.5789473684211,"1958-1983","Vogels van pionierbegroeiingen"
300,1978,210,6.38,32.9153605015674,"1958-1983","Vogels van pionierbegroeiingen"
300,1979,184,6.37,28.8854003139717,"1958-1983","Vogels van pionierbegroeiingen"
300,1980,195,6.38,30.564263322884,"1958-1983","Vogels van pionierbegroeiingen"
300,1981,192,6.38,30.0940438871473,"1958-1983","Vogels van pionierbegroeiingen"
300,1982,177,6.035,29.3289146644573,"1958-1983","Vogels van pionierbegroeiingen"
300,1983,163,6.38,25.5485893416928,"1958-1983","Vogels van pionierbegroeiingen"
300,1984,113,3.02300608,37.380010826839,"1984-2025","Vogels van pionierbegroeiingen"
300,1985,193,5.13012052,37.6209485230573,"1984-2025","Vogels van pionierbegroeiingen"
300,1986,139,4.23796013,32.798798416256,"1984-2025","Vogels van pionierbegroeiingen"
300,1987,163,5.02247314,32.454130755192,"1984-2025","Vogels van pionierbegroeiingen"
300,1988,128,4.70180252,27.2236018964063,"1984-2025","Vogels van pionierbegroeiingen"
300,1989,120,4.70180252,25.5221267778809,"1984-2025","Vogels van pionierbegroeiingen"
300,1990,112,4.85514176,23.0683274632129,"1984-2025","Vogels van pionierbegroeiingen"
300,1991,109,5.55688703,19.615298891545,"1984-2025","Vogels van pionierbegroeiingen"
300,1992,125,6.1308353,20.3887388721729,"1984-2025","Vogels van pionierbegroeiingen"
300,1993,117,6.1308353,19.0838595843539,"1984-2025","Vogels van pionierbegroeiingen"
