kavel_nummer,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
75a,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638
77,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.34,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
83,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
84,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192,0.2192
85,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732,0.3732
91,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007,0.4007
105,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558,0.1558
10-12-76,0.38,0.38,0.42,0.42,0.42,0.42,0.42,0.22,0.26,0.41,0.4,0.4,0.41,0.41,0.41,0.43,0.445,0.445,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
4-5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.22,0.2,0.19,0.2,0.21,0.21,0.21,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
78/79,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255,0.255
