kavel_nummer,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
14,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.40580915,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058,0.4058
15,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.31589047,0.33550462,0.33550462,0.33550462,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252,0.3252
16,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.8,0.8,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.38696592,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387,0.387
16s,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1209,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.12250244,0.10288829,0.10288829,0.10288829,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209,0.1209
17a,0.475,0.475,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.475,0.45,0.45,0.465,0.455,0.475,0.485,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.57219326,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722,0.5722
17b,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.2201,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.22014556,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201
31,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.39178849,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837,0.3837
32,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.365,0.425,0.425,0.34,0.335,0.33,0.35,0.36,0.385,0.35,0.34,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.37302188,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373
33,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.305,0.345,0.345,0.345,0.345,0.365,0.345,0.345,0.345,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.33959448,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396,0.3396
34,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.215,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.21211802,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121,0.2121
