GROEP,EURING,VEELEISEND
700,16790,3
700,18570,2
700,18660,4
701,  720,2
701, 1040,4
701, 1190,2
701, 1220,2
701, 1310,5
701, 2380,2
701, 2430,5
701, 3010,5
701,10090,1
701,12200,2
701,14900,2
701,16790,3
702, 7780,3
702, 8410,5
702, 8460,5
702, 8480,3
702, 8560,2
702, 9740,2
702,10090,1
702,11220,2
702,15200,3
702,18570,2
702,18660,4
703,11980,2
703,15230,5
703,15490,1
703,15671,1
703,16400,2
703,16490,2
703,16530,2
703,16630,2
711, 7780,3
711, 8410,5
711, 8460,5
711, 8480,3
711, 8560,2
711, 9740,2
711,10090,1
711,10840,1
711,11040,2
711,11220,2
711,11390,2
711,11980,2
711,12200,2
711,12500,2
711,12590,2
711,12600,2
711,12740,2
711,12750,2
711,12760,1
711,13120,1
711,14900,2
711,15150,3
711,15200,3
711,15230,5
711,15490,1
711,15671,1
711,16400,2
711,16490,2
711,16530,2
711,16600,2
711,16630,2
711,16790,3
711,18570,2
711,18660,4
800, 2310,3
800, 2670,2
800, 2690,2
800, 2870,2
800, 5290,2
800, 6680,2
800, 6700,1
800, 7440,4
800, 7610,2
800, 7670,2
800, 7700,2
800, 8560,2
800, 8630,2
800, 8760,2
800, 8830,5
800, 8870,3
800,11220,2
800,12020,2
800,13070,2
800,13080,2
800,13110,1
800,13140,1
800,13150,2
800,13350,2
800,13430,3
800,14400,2
800,14540,1
800,14610,1
800,14620,1
800,14640,1
800,14790,2
800,14860,2
800,14870,2
800,15080,2
800,15390,1
800,15600,2
800,15720,3
800,15820,1
800,15980,2
800,16360,1
800,16380,2
800,16540,2
800,16660,2
800,16680,2
800,17170,2
801, 6700,1
801, 7670,2
801,14640,1
801,15390,1
801,16360,1
802, 7700,2
802,13140,1
802,13150,2
802,14540,1
802,14610,1
802,16380,2
802,16540,2
802,16660,2
802,16680,2
803, 5290,2
803,12020,2
803,13070,2
803,13080,2
803,13110,1
803,15080,2
803,17170,2
804, 7440,4
804, 8560,2
804, 8630,2
804, 8760,2
804,11220,2
804,14860,2
804,14870,2
804,15820,1
804,15980,2
805, 8870,3
805,13350,2
805,14400,2
805,14620,1
806, 6680,2
806, 7120,2
806, 7610,2
806, 8830,5
806,13430,3
806,14790,2
806,15600,2
807, 2310,3
807, 2670,2
807, 2690,2
807, 2870,2
807,15720,3
808, 2390,4
808, 3040,2
808, 3100,2
808, 3200,4
808,15630,3
811, 5290,2
811, 6680,2
811, 7610,2
811, 8830,5
811, 8870,3
811,12020,2
811,13070,2
811,13080,2
811,13110,1
811,13350,2
811,13430,3
811,14400,2
811,14620,1
811,14790,2
811,15080,2
811,15600,2
811,17170,2
812, 6680,2
812, 7440,4
812, 7610,2
812, 8560,2
812, 8630,2
812, 8760,2
812, 8830,5
812, 8870,3
812,11220,2
812,13350,2
812,13430,3
812,14400,2
812,14620,1
812,14790,2
812,14860,2
812,14870,2
812,15600,2
812,15820,1
812,15980,2
813, 5290,2
813, 6680,2
813, 7440,4
813, 7610,2
813, 8560,2
813, 8630,2
813, 8760,2
813, 8830,5
813, 8870,3
813,11220,2
813,12020,2
813,13070,2
813,13080,2
813,13110,1
813,13350,2
813,13430,3
813,14400,2
813,14620,1
813,14790,2
813,14860,2
813,14870,2
813,15080,2
813,15600,2
813,15820,1
813,15980,2
813,17170,2
901, 6680,2
901, 6840,2
901, 7350,3
901, 7570,2
901, 7950,2
901, 9920,2
901,10010,2
901,10201,1
901,11210,2
901,15600,2
901,15820,1
901,15910,1
901,15980,1
911,   70,2
911,  120,3
911,  950,3
911,  980,4
911, 1040,4
911, 1240,3
911, 1340,3
911, 1440,3
911, 1910,3
911, 1960,3
911, 2060,2
911, 2610,3
911, 2630,3
911, 3320,4
911, 3670,2
911, 4080,3
911, 4210,4
911, 4560,2
911, 4590,4
911, 4700,2
911, 4770,3
911, 5170,4
911, 5190,3
911, 5320,2
911, 5460,2
911, 6110,3
911, 6150,2
911, 6160,3
911, 6240,3
911, 6270,3
911, 7350,3
911, 7570,3
911, 7680,3
911, 7780,3
911, 8310,3
911, 8460,5
911, 8480,3
911, 8560,2
911, 9720,4
911, 9810,2
911,10050,3
911,11370,3
911,11390,2
911,11460,2
911,12380,2
911,12430,2
911,12530,3
911,13640,3
911,15150,3
911,15200,3
911,15230,5
911,15720,3
911,18570,2
911,18660,4
911,18820,3
912, 1240,3
912, 1440,3
912, 2390,4
912, 4210,4
912, 4500,1
912, 4560,2
912, 5320,2
912,11060,2
912,13640,3
921, 2310,3
921, 2380,2
921, 2390,4
921, 2600,3
921, 2610,3
921, 2630,3
921, 2670,2
921, 2690,2
921, 2870,2
921, 3010,5
921, 3040,2
921, 3100,2
921, 3200,4
999, 7240,2
999,13490,1
