EURING,JAAR,AA_GEB,SUBDOELTYP,AANTAL,OPPERVLAKT
12770.0,1998,HO,13.7,28.0,360.1123
12770.0,1998,HO,3.3,4.0,73.4046
12770.0,1998,HO,5.4,5.0,283.6797
12770.0,1998,HO,6.3,1.0,46.9263
13080.0,1992,HO,13.6,8.0,459.3625
13080.0,1992,HO,13.7,7.0,360.1123
13080.0,1992,HO,5.4,1.0,283.6797
13080.0,1998,HO,13.6,6.0,459.3625
13080.0,1998,HO,13.7,3.0,360.1123
13080.0,1998,HO,3.3,3.0,73.4046
13150.0,1992,HO,13.6,11.0,459.3625
13150.0,1992,HO,13.7,5.0,360.1123
13150.0,1998,HO,13.6,2.0,459.3625
13150.0,1998,HO,13.7,6.0,360.1123
13350.0,1992,HO,13.6,12.0,459.3625
13350.0,1992,HO,13.7,16.0,360.1123
13350.0,1992,HO,3.2,2.0,5.0461
13350.0,1992,HO,3.3,7.0,73.4046
13350.0,1992,HO,5.4,4.0,283.6797
13350.0,1992,HO,6.3,1.0,46.9263
13350.0,1992,HO,99.11,2.0,45.0719
13350.0,1998,HO,13.6,6.0,459.3625
13350.0,1998,HO,13.7,3.0,360.1123
13350.0,1998,HO,5.4,1.0,283.6797
13350.0,1998,HO,99.1,1.0,1.4418
13350.0,1998,HO,99.11,2.0,45.0719
13490.0,1998,HO,13.6,6.0,459.3625
13490.0,1998,HO,13.7,10.0,360.1123
13490.0,1998,HO,3.3,12.0,73.4046
13490.0,1998,HO,5.4,14.0,283.6797
13490.0,1998,HO,99.11,3.0,45.0719
13490.0,1998,HO,99.3,1.0,1.439
14400.0,1992,HO,13.7,2.0,360.1123
14400.0,1992,HO,6.3,1.0,46.9263
14420.0,1998,HO,13.6,17.0,459.3625
14420.0,1998,HO,13.7,15.0,360.1123
14420.0,1998,HO,3.2,1.0,5.0461
14420.0,1998,HO,3.3,4.0,73.4046
14420.0,1998,HO,5.4,4.0,283.6797
14540.0,1992,HO,13.6,24.0,459.3625
14540.0,1992,HO,13.7,19.0,360.1123
14540.0,1992,HO,5.4,3.0,283.6797
14540.0,1992,HO,6.3,1.0,46.9263
14540.0,1992,HO,99.3,1.0,1.439
14540.0,1998,HO,13.6,29.0,459.3625
14540.0,1998,HO,13.7,23.0,360.1123
14540.0,1998,HO,3.2,1.0,5.0461
14540.0,1998,HO,3.3,2.0,73.4046
14540.0,1998,HO,5.4,1.0,283.6797
14790.0,1998,HO,13.6,1.0,459.3625
14870.0,1992,HO,13.6,35.0,459.3625
14870.0,1992,HO,13.7,42.0,360.1123
14870.0,1992,HO,3.3,5.0,73.4046
14870.0,1992,HO,5.4,7.0,283.6797
14870.0,1992,HO,6.3,2.0,46.9263
14870.0,1992,HO,99.11,5.0,45.0719
14870.0,1992,HO,9.2,1.0,29.3921
14870.0,1998,HO,13.6,25.0,459.3625
14870.0,1998,HO,13.7,24.0,360.1123
14870.0,1998,HO,3.2,1.0,5.0461
14870.0,1998,HO,3.3,8.0,73.4046
14870.0,1998,HO,5.4,4.0,283.6797
14870.0,1998,HO,99.1,1.0,1.4418
14870.0,1998,HO,99.11,1.0,45.0719
15080.0,1992,HO,13.6,1.0,459.3625
15080.0,1992,HO,13.7,1.0,360.1123
15080.0,1992,HO,3.3,1.0,73.4046
15080.0,1992,HO,5.4,1.0,283.6797
15080.0,1992,HO,99.11,1.0,45.0719
15080.0,1998,HO,3.3,1.0,73.4046
15150.0,1992,HO,5.4,1.0,283.6797
15600.0,1998,HO,13.6,5.0,459.3625
15600.0,1998,HO,99.1,1.0,1.4418
15671.0,1998,HO,13.6,2.0,459.3625
15671.0,1998,HO,13.7,6.0,360.1123
15671.0,1998,HO,18.1,1.0,109.189
15671.0,1998,HO,20.9,1.0,6.8918
15671.0,1998,HO,3.2,1.0,5.0461
15671.0,1998,HO,3.3,1.0,73.4046
15671.0,1998,HO,5.4,2.0,283.6797
16540.0,1992,HO,13.6,1.0,459.3625
16540.0,1992,HO,6.3,1.0,46.9263
16540.0,1998,HO,13.6,3.0,459.3625
16540.0,1998,HO,13.7,1.0,360.1123
16540.0,1998,HO,5.4,1.0,283.6797
16600.0,1998,HO,13.7,3.0,360.1123
16600.0,1998,HO,18.1,2.0,109.189
16600.0,1998,HO,5.4,13.0,283.6797
16600.0,1998,HO,6.5,1.0,46.8044
16600.0,1998,HO,99.11,3.0,45.0719
16630.0,1992,HO,13.7,1.0,360.1123
16650.0,1998,HO,13.6,1.0,459.3625
16650.0,1998,HO,13.7,1.0,360.1123
16660.0,1992,HO,13.6,2.0,459.3625
16660.0,1992,HO,5.4,1.0,283.6797
16660.0,1998,HO,13.6,7.0,459.3625
16660.0,1998,HO,13.7,7.0,360.1123
16660.0,1998,HO,3.3,4.0,73.4046
16660.0,1998,HO,5.4,2.0,283.6797
16660.0,1998,HO,6.3,1.0,46.9263
17100.0,1998,HO,13.6,4.0,459.3625
17100.0,1998,HO,13.7,7.0,360.1123
17170.0,1992,HO,13.6,25.0,459.3625
17170.0,1992,HO,13.7,22.0,360.1123
17170.0,1992,HO,3.3,4.0,73.4046
17170.0,1992,HO,5.4,12.0,283.6797
17170.0,1992,HO,6.3,4.0,46.9263
17170.0,1992,HO,99.11,1.0,45.0719
17170.0,1992,HO,99.4,1.0,1.4265
17170.0,1998,HO,13.6,27.0,459.3625
17170.0,1998,HO,13.7,23.0,360.1123
17170.0,1998,HO,3.3,1.0,73.4046
17170.0,1998,HO,5.4,8.0,283.6797
17170.0,1998,HO,99.11,4.0,45.0719
17170.0,1998,HO,99.3,1.0,1.439
18570.0,1992,HO,13.6,2.0,459.3625
18570.0,1992,HO,13.7,1.0,360.1123
18570.0,1992,HO,18.1,3.0,109.189
18570.0,1992,HO,19.2,1.0,26.0694
18570.0,1992,HO,20.9,1.0,6.8918
18570.0,1992,HO,3.3,1.0,73.4046
18570.0,1992,HO,5.4,6.0,283.6797
18570.0,1992,HO,6.3,1.0,46.9263
18570.0,1992,HO,9.2,1.0,29.3921
18570.0,1998,HO,13.6,3.0,459.3625
18570.0,1998,HO,13.7,3.0,360.1123
18570.0,1998,HO,18.1,1.0,109.189
18570.0,1998,HO,19.2,3.0,26.0694
18570.0,1998,HO,5.4,7.0,283.6797
18570.0,1998,HO,6.3,3.0,46.9263
18570.0,1998,HO,6.5,1.0,46.8044
18570.0,1998,HO,99.1,1.0,1.4418
18770.0,1992,HO,13.7,1.0,360.1123
18770.0,1992,HO,5.4,7.0,283.6797
18770.0,1992,HO,6.3,2.0,46.9263
18770.0,1992,HO,6.5,4.0,46.8044
18770.0,1992,HO,99.8,1.0,4.5274
18770.0,1998,HO,5.4,7.0,283.6797
18770.0,1998,HO,6.3,3.0,46.9263
18770.0,1998,HO,6.5,4.0,46.8044
18770.0,1998,HO,99.8,1.0,4.5274
