EURING,VARIABELE,WAARDE,VARNR
110,AORO_LIJST,-,36
110,APBL_LIJST,-,37
110,AQNBP,-,38
110,ARBMP,-,39
110,ASPTT,-,40
110,ATOE_GROEP,II,41
110,AUPMI73_77,      -,42
110,AVPMA73_77,      -,43
110,AWPMI79_85,     -,44
110,AXPMA79_85,     -,45
110,AYTRST_BR,-,46
110,AZTRST_NBR,WDo,47
110,BAWINT_GEB,-,48
110,BBBROEDGEB,123,49
110,BCBRV_NED,-,50
110,BDPRESENT,-,51
110,BEBROEDBIO,d1,52
110,BFBRTYBEG,5,53
110,BGBRTYEND,8,54
110,BHBRDUUR,22,55
110,BIEI_MIN, 3,56
110,BJEI_NORM, 4,57
110,BKEI_MAX, 8,58
110,BLLEG_MIN,1,59
110,BMLEG_NORM,1,60
110,BNLEG_MAX,2,61
110,BONESTH,1,62
110,BPHOLBROED,-,63
110,BQKOLBROED,-,64
110,BRNESTPER, 57,65
110,BSNESTVLIE,*,66
110,BTGESLRIJP,2,67
110,BULEEF_MAX,-,68
110,BVOVERLEV,-,69
110,BWONVKLEED,6,70
110,BXGEW_MAN,  395,71
110,BYGEW_VR, 363,72
110,BZLENG_MAN,146,73
110,CALENG_VR,140,74
120,AORO_LIJST,*,36
120,APBL_LIJST,-,37
120,AQNBP,-,38
120,ARBMP,-,39
120,ASPTT,-,40
120,ATOE_GROEP,II,41
120,AUPMI73_77,     30,42
120,AVPMA73_77,     70,43
120,AWPMI79_85,    30,44
120,AXPMA79_85,   225,45
120,AYTRST_BR,Z,46
120,AZTRST_NBR,WDo,47
120,BAWINT_GEB,  2,48
120,BBBROEDGEB,1234,49
120,BCBRV_NED,*,50
120,BDPRESENT,56,51
120,BEBROEDBIO,d1,52
120,BFBRTYBEG,4,53
120,BGBRTYEND,7,54
120,BHBRDUUR,21,55
120,BIEI_MIN, 2,56
120,BJEI_NORM, 4,57
120,BKEI_MAX, 8,58
120,BLLEG_MIN,1,59
120,BMLEG_NORM,1,60
120,BNLEG_MAX,2,61
120,Bodem1,x,19
120,BONESTH,1,62
120,BPHOLBROED,-,63
120,BQKOLBROED,-,64
120,BRNESTPER, 21,65
120,Broed-eco1,1,2
120,Broedvogel,1,1
120,BSNESTVLIE,*,66
120,BTGESLRIJP,2,67
120,BULEEF_MAX,-,68
120,BVOVERLEV,-,69
120,BWONVKLEED,6,70
120,BXGEW_MAN,  358,71
120,BYGEW_VR, 284,72
120,BZLENG_MAN,134,73
120,CALENG_VR,130,74
120,Nest-pl1,2,4
120,Openh-max,5,12
120,Openh-min,2,11
120,Stroming-max,2,35
120,Stroming-min,1,34
120,Stroming-opt,1,33
120,Ter-gem,2,16
120,Ter-max,3,18
120,Ter-min,2,17
120,Vocht-max,1,23
120,Vocht-min,1,22
120,Vocht-opt,1,21
120,Voedsel-eco1,1,6
120,Voedsel-pl1,1,8
120,Voedsel-pl2,2,9
120,Voedselrijk-max,3,29
120,Voedselrijk-min,2,28
120,Voedselrijk-opt,3,27
120,Zout-max,3,32
120,Zout-min,1,31
120,Zout-opt,1,30
120,Zuur-max,3,26
120,Zuur-min,1,25
120,Zuur-opt,3,24
220,AORO_LIJST,-,36
220,APBL_LIJST,-,37
220,AQNBP,-,38
220,ARBMP,-,39
220,ASPTT,-,40
220,ATOE_GROEP,I,41
220,AUPMI73_77,      -,42
220,AVPMA73_77,      -,43
220,AWPMI79_85,     -,44
220,AXPMA79_85,     -,45
220,AYTRST_BR,-,46
220,AZTRST_NBR,WDo,47
220,BAWINT_GEB,-,48
220,BBBROEDGEB,12,49
220,BCBRV_NED,-,50
220,BDPRESENT,-,51
220,BEBROEDBIO,a5,52
220,BFBRTYBEG,5,53
220,BGBRTYEND,9,54
220,BHBRDUUR,56,55
220,BIEI_MIN, 1,56
220,BJEI_NORM, 1,57
220,BKEI_MAX, 2,58
220,BLLEG_MIN,1,59
220,BMLEG_NORM,1,60
220,BNLEG_MAX,1,61
220,BONESTH,4,62
220,BPHOLBROED,-,63
220,BQKOLBROED,*,64
220,BRNESTPER, 48,65
220,BSNESTVLIE,-,66
220,BTGESLRIJP,8,67
220,BULEEF_MAX,34,68
220,BVOVERLEV,95,69
220,BWONVKLEED,0,70
220,BXGEW_MAN,  835,71
220,BYGEW_VR, 700,72
220,BZLENG_MAN,340,73
220,CALENG_VR,323,74
360,AORO_LIJST,-,36
360,APBL_LIJST,-,37
360,AQNBP,-,38
360,ARBMP,-,39
360,ASPTT,-,40
360,ATOE_GROEP,I,41
360,AUPMI73_77,      -,42
360,AVPMA73_77,      -,43
360,AWPMI79_85,     -,44
360,AXPMA79_85,     -,45
360,AYTRST_BR,-,46
360,AZTRST_NBR,-,47
360,BAWINT_GEB,-,48
360,BBBROEDGEB,4,49
360,BCBRV_NED,-,50
360,BDPRESENT,-,51
360,BEBROEDBIO,a5,52
360,BFBRTYBEG,5,53
360,BGBRTYEND,10,54
360,BHBRDUUR,54,55
360,BIEI_MIN, 1,56
360,BJEI_NORM, 1,57
360,BKEI_MAX, 1,58
360,BLLEG_MIN,1,59
360,BMLEG_NORM,1,60
360,BNLEG_MAX,1,61
