SUBNHLVOLG,SUBNHLCODE,SUBNHLOMS,GROEPNR,GROEPNAAM,REFERENTIE,ONDERGRENS,REF_KLAS,ONDER_KLAS
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",500.0,Weidevogels,32.4509,10.7088,32.3,10.659
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",501.0,Zomertaling-groep,24.4835,8.0795,22.9,7.557
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",502.0,Grutto-groep,2.5956,0.8565,3.4,1.122
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",503.0,Veldleeuwerik-groep,5.3719,1.7727,6.0,1.98
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",600.0,Struweelvogels,88.6467,29.2534,93.4,30.822
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",601.0,Rietgors-groep,24.858,8.2031,27.0,8.91
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",602.0,Roodborsttapuit-groep,40.8161,13.4693,42.0,13.86
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",603.0,Grasmus-groep,55.9504,18.4636,57.2,18.876
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",604.0,Winterkoning-groep,7.8383,2.5866,9.2,3.036
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",611.0,Zwartkop-groep,7.8383,2.5866,9.2,3.036
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",700.0,Bosrandvogels,10.2144,3.3707,11.3,3.729
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",702.0,Geelgors-groep,9.7882,3.2301,10.9,3.597
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",703.0,Putter-groep,0.4261,0.1406,0.4,0.132
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",711.0,Bosrandstruweelvogels,66.1648,21.8344,68.5,22.605
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",800.0,Bosvogels,24.3027,8.0199,28.6,9.438
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",801.0,Vink-groep,1.046,0.3452,1.5,0.495
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",803.0,Appelvink-groep,5.8239,1.9219,6.6,2.178
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",804.0,Grote Bonte Specht-groep,7.8125,2.5781,10.7,3.531
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",805.0,Kleine Bonte Specht-groep,4.7521,1.5682,3.95,1.3035
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",806.0,Boomklever-groep,4.016,1.3253,4.7,1.551
54.0,12.3,"Complex van bos, ruigten, gras en water op hoogveen",807.0,Havik-groep,0.8523,0.2812,1.15,0.3795
