EURING,NEDERLANDS,SOORTGROEP,EURNUM
 6680,Holenduif,4,6680
 6700,Houtduif,5,6700
 6840,Turkse Tortel,4,6840
 6870,Zomertortel (Tortelduif),4,6870
 7120,Halsbandparkiet,3,7120
 7240,Koekoek,4,7240
 7350,Kerkuil,3,7350
 7390,Dwergooruil,0,7390
 7440,Oehoe,2,7440
 7510,Dwerguil,0,7510
 7570,Steenuil,3,7570
 7610,Bosuil,3,7610
 7650,Oeraluil,0,7650
 7660,Laplanduil,0,7660
 7670,Ransuil,3,7670
 7680,Velduil,2,7680
 7700,Ruigpootuil,0,7700
 7780,Nachtzwaluw,2,7780
 7950,Gierzwaluw,4,7950
 8310,IJsvogel,2,8310
 8400,Bijeneter,0,8400
 8410,Scharrelaar,0,8410
 8460,Hop,0,8460
 8480,Draaihals,2,8480
 8550,Grijskopspecht,0,8550
 8560,Groene Specht,3,8560
 8630,Zwarte Specht,3,8630
 8760,Grote Bonte Specht,4,8760
 8780,Syrische Bonte Specht,0,8780
 8830,Middelste Bonte Specht,2,8830
 8840,Witrugspecht,0,8840
 8870,Kleine Bonte Specht,3,8870
 8980,Drieteenspecht,0,8980
 9720,Kuifleeuwerik,2,9720
 9740,Boomleeuwerik,3,9740
 9760,Veldleeuwerik,4,9760
 9810,Oeverzwaluw,1,9810
 9920,Boerenzwaluw,4,9920
10010,Huiszwaluw,4,10010
10050,Duinpieper,2,10050
10090,Boompieper,4,10090
10110,Graspieper,4,10110
10171,Gele Kwikstaart,4,10171
10172,Engelse Kwikstaart,0,10172
10190,Grote Gele Kwikstaart,2,10190
10201,Witte Kwikstaart,4,10201
10202,Rouwkwikstaart,2,10202
10480,Pestvogel,0,10480
10500,Waterspreeuw,0,10500
10660,Winterkoning,5,10660
10840,Heggenmus,4,10840
10990,Roodborst,5,10990
11030,Noordse Nachtegaal,0,11030
11040,Nachtegaal,3,11040
11060,Blauwborst,3,11060
11210,Zwarte Roodstaart,4,11210
11220,Gekraagde Roodstaart,4,11220
11370,Paapje,2,11370
11390,Roodborsttapuit,3,11390
11460,Tapuit,3,11460
11860,Beflijster,0,11860
11870,Merel,5,11870
11980,Kramsvogel,2,11980
12000,Zanglijster,4,12000
12010,Koperwiek,0,12010
12020,Grote Lijster,4,12020
12200,Cetti's Zanger,0,12200
12260,Graszanger (Waaierstaartzanger),0,12260
12360,Sprinkhaanzanger,3,12360
12370,Krekelzanger,0,12370
12380,Snor,3,12380
12420,Waterrietzanger,0,12420
12430,Rietzanger,3,12430
12470,Veldrietzanger,0,12470
12480,Struikkarekiet,0,12480
12500,Bosrietzanger,4,12500
12510,Kleine Karekiet,4,12510
12530,Grote Karekiet,2,12530
12590,Spotvogel,4,12590
12600,Orpheusspotvogel,0,12600
12730,Sperwergrasmus,0,12730
12740,Braamsluiper,4,12740
12750,Grasmus,4,12750
12760,Tuinfluiter,4,12760
12770,Zwartkop,4,12770
12910,Groene Fitis,0,12910
13070,Bergfluiter,0,13070
13080,Fluiter,3,13080
13110,Tjiftjaf,5,13110
13120,Fitis,5,13120
13140,Goudhaan,5,13140
13150,Vuurgoudhaan,3,13150
13350,Grauwe Vliegenvanger,4,13350
13430,Kleine Vliegenvanger,0,13430
13480,Withalsvliegenvanger,0,13480
13490,Bonte Vliegenvanger,4,13490
13640,Baardmannetje,2,13640
14370,Staartmees,4,14370
14400,Glanskop,3,14400
14420,Matkop,4,14420
14540,Kuifmees,5,14540
14610,Zwarte Mees,5,14610
14620,Pimpelmees,5,14620
14640,Koolmees,5,14640
14790,Boomklever,3,14790
14860,Taigaboomkruiper,2,14860
14870,Boomkruiper,4,14870
14900,Buidelmees,2,14900
15080,Wielewaal,3,15080
15150,Grauwe Klauwier,2,15150
15200,Klapekster,2,15200
15230,Roodkopklauwier,0,15230
15390,Gaai,4,15390
15490,Ekster,4,15490
15570,Notenkraker,0,15570
15600,Kauw,4,15600
15620,Huiskraai,2,15620
15630,Roek,1,15630
