N1,OOSTERENG_,N3,N4,N5,WILDE_EEND,N7
10000003,Oostereng BN 3.4,12,1990,4240,Waterhoen,-1
10000003,Oostereng BN 3.4,12,1990,4290,Meerkoet,-1
10000003,Oostereng BN 3.4,12,1990,6680,Holenduif,5
10000003,Oostereng BN 3.4,12,1990,6700,Houtduif,-1
10000003,Oostereng BN 3.4,12,1990,6840,Turkse Tortel,-1
10000003,Oostereng BN 3.4,12,1990,6870,Tortelduif,-1
10000003,Oostereng BN 3.4,12,1990,7240,Koekoek,-1
10000003,Oostereng BN 3.4,12,1990,7610,Bosuil,1
10000003,Oostereng BN 3.4,12,1990,7670,Ransuil,1
10000003,Oostereng BN 3.4,12,1990,7950,Gierzwaluw,-1
10000003,Oostereng BN 3.4,12,1990,8630,Zwarte Specht,1
10000003,Oostereng BN 3.4,12,1990,8760,Grote Bonte Specht,-1
10000003,Oostereng BN 3.4,12,1990,8870,Kleine Bonte Spech,5
10000003,Oostereng BN 3.4,12,1990,9760,Veldleeuwerik,-1
10000003,Oostereng BN 3.4,12,1990,9920,Boerenzwaluw,-1
10000003,Oostereng BN 3.4,12,1990,10010,Huiszwaluw,-1
10000003,Oostereng BN 3.4,12,1990,10090,Boompieper,-1
10000003,Oostereng BN 3.4,12,1990,10110,Graspieper,-1
10000003,Oostereng BN 3.4,12,1990,10171,Gele Kwikstaart,-1
10000003,Oostereng BN 3.4,12,1990,10201,Witte Kwikstaart,-1
10000003,Oostereng BN 3.4,12,1990,10660,Winterkoning,-1
10000003,Oostereng BN 3.4,12,1990,10840,Heggemus,-1
10000003,Oostereng BN 3.4,12,1990,10990,Roodborst,-1
10000003,Oostereng BN 3.4,12,1990,11210,Zwarte Roodstaart,-1
10000003,Oostereng BN 3.4,12,1990,11220,Gekraagde Roodstaa,1
10000003,Oostereng BN 3.4,12,1990,11870,Merel,-1
10000003,Oostereng BN 3.4,12,1990,12000,Zanglijster,-1
10000003,Oostereng BN 3.4,12,1990,12020,Grote Lijster,-1
10000003,Oostereng BN 3.4,12,1990,12500,Bosrietzanger,-1
10000003,Oostereng BN 3.4,12,1990,12510,Kleine Karekiet,-1
10000003,Oostereng BN 3.4,12,1990,12590,Spotvogel,-1
10000003,Oostereng BN 3.4,12,1990,12740,Braamsluiper,-1
10000003,Oostereng BN 3.4,12,1990,12760,Tuinfluiter,-1
10000003,Oostereng BN 3.4,12,1990,12770,Zwartkop,-1
10000003,Oostereng BN 3.4,12,1990,13080,Fluiter,1
10000003,Oostereng BN 3.4,12,1990,13110,Tjiftjaf,-1
10000003,Oostereng BN 3.4,12,1990,13120,Fitis,-1
10000003,Oostereng BN 3.4,12,1990,13140,Goudhaantje,-1
10000003,Oostereng BN 3.4,12,1990,13350,Grauwe Vliegenvang,-1
10000003,Oostereng BN 3.4,12,1990,13490,Bonte Vliegenvange,-1
10000003,Oostereng BN 3.4,12,1990,14370,Staartmees,-1
10000003,Oostereng BN 3.4,12,1990,14420,Matkop,-1
10000003,Oostereng BN 3.4,12,1990,14540,Kuifmees,-1
10000003,Oostereng BN 3.4,12,1990,14610,Zwarte Mees,-1
10000003,Oostereng BN 3.4,12,1990,14620,Pimpelmees,-1
10000003,Oostereng BN 3.4,12,1990,14640,Koolmees,-1
10000003,Oostereng BN 3.4,12,1990,14790,Boomklever,12
10000003,Oostereng BN 3.4,12,1990,14870,Boomkruiper,-1
10000003,Oostereng BN 3.4,12,1990,14900,Buidelmees,1
10000003,Oostereng BN 3.4,12,1990,15390,Vlaamse Gaai,-1
10000003,Oostereng BN 3.4,12,1990,15490,Ekster,-1
10000003,Oostereng BN 3.4,12,1990,15600,Kauw,-1
10000003,Oostereng BN 3.4,12,1990,15671,Zwarte Kraai,-1
10000003,Oostereng BN 3.4,12,1990,15820,Spreeuw,-1
10000003,Oostereng BN 3.4,12,1990,15910,Huismus,-1
10000003,Oostereng BN 3.4,12,1990,15980,Ringmus,-1
10000003,Oostereng BN 3.4,12,1990,16360,Vink,-1
10000003,Oostereng BN 3.4,12,1990,16490,Groenling,-1
10000003,Oostereng BN 3.4,12,1990,16600,Kneu,-1
10000003,Oostereng BN 3.4,12,1990,17100,Goudvink,-1
10000003,Oostereng BN 3.4,12,1990,17170,Appelvink,5
10000003,Oostereng BN 3.4,12,1990,18770,Rietgors,-1
16422100,Schut en Grafkampe,35,1986,90,Fuut,7
16422100,Schut en Grafkampe,35,1986,950,Roerdomp,1
16422100,Schut en Grafkampe,35,1986,1820,Krakeend,1
16422100,Schut en Grafkampe,35,1986,1840,Wintertaling,1
16422100,Schut en Grafkampe,35,1986,1860,Wilde Eend,28
16422100,Schut en Grafkampe,35,1986,1940,Slobeend,1
16422100,Schut en Grafkampe,35,1986,2600,Bruine Kiekendief,1
16422100,Schut en Grafkampe,35,1986,2870,Buizerd,1
16422100,Schut en Grafkampe,35,1986,3940,Fazant,1
16422100,Schut en Grafkampe,35,1986,4070,Waterral,1
16422100,Schut en Grafkampe,35,1986,4290,Meerkoet,13
16422100,Schut en Grafkampe,35,1986,5190,Watersnip,1
16422100,Schut en Grafkampe,35,1986,5410,Wulp,3
16422100,Schut en Grafkampe,35,1986,6270,Zwarte Stern,7
16422100,Schut en Grafkampe,35,1986,6700,Houtduif,4
16422100,Schut en Grafkampe,35,1986,7240,Koekoek,3
16422100,Schut en Grafkampe,35,1986,7670,Ransuil,1
16422100,Schut en Grafkampe,35,1986,10201,Witte Kwikstaart,1
16422100,Schut en Grafkampe,35,1986,10660,Winterkoning,3
16422100,Schut en Grafkampe,35,1986,10840,Heggemus,2
16422100,Schut en Grafkampe,35,1986,10990,Roodborst,1
16422100,Schut en Grafkampe,35,1986,11870,Merel,1
16422100,Schut en Grafkampe,35,1986,12360,Sprinkhaanzanger,7
16422100,Schut en Grafkampe,35,1986,12380,Snor,12
16422100,Schut en Grafkampe,35,1986,12430,Rietzanger,25
16422100,Schut en Grafkampe,35,1986,12500,Bosrietzanger,1
16422100,Schut en Grafkampe,35,1986,12510,Kleine Karekiet,68
16422100,Schut en Grafkampe,35,1986,12740,Braamsluiper,1
16422100,Schut en Grafkampe,35,1986,12750,Grasmus,2
16422100,Schut en Grafkampe,35,1986,12760,Tuinfluiter,4
16422100,Schut en Grafkampe,35,1986,13110,Tjiftjaf,9
16422100,Schut en Grafkampe,35,1986,13120,Fitis,35
16422100,Schut en Grafkampe,35,1986,14370,Staartmees,3
16422100,Schut en Grafkampe,35,1986,14420,Matkop,2
16422100,Schut en Grafkampe,35,1986,14640,Koolmees,1
16422100,Schut en Grafkampe,35,1986,15080,Wielewaal,1
16422100,Schut en Grafkampe,35,1986,15671,Zwarte Kraai,4
16422100,Schut en Grafkampe,35,1986,17100,Goudvink,1
16422100,Schut en Grafkampe,35,1986,18770,Rietgors,22
16422100,Schut en Grafkampe,35,1987,120,Geoorde Fuut,5
16422100,Schut en Grafkampe,35,1987,980,Woudaapje,-1
16422100,Schut en Grafkampe,35,1987,6700,Houtduif,-1
16422100,Schut en Grafkampe,35,1987,10660,Winterkoning,-1
16422100,Schut en Grafkampe,35,1987,10990,Roodborst,-1
16422100,Schut en Grafkampe,35,1987,11870,Merel,-1
16422100,Schut en Grafkampe,35,1987,13110,Tjiftjaf,-1
16422100,Schut en Grafkampe,35,1987,13120,Fitis,-1
16422100,Schut en Grafkampe,35,1987,13140,Goudhaantje,-1
16422100,Schut en Grafkampe,35,1987,14540,Kuifmees,-1
16422100,Schut en Grafkampe,35,1987,14610,Zwarte Mees,-1
16422100,Schut en Grafkampe,35,1987,14620,Pimpelmees,-1
16422100,Schut en Grafkampe,35,1987,15910,Huismus,-1
16422100,Schut en Grafkampe,35,1987,15980,Ringmus,-1
16422100,Schut en Grafkampe,35,1987,16360,Vink,-1
19445504,Reigersbosch,57,1989,2670,Havik,1
19445504,Reigersbosch,57,1989,2690,Sperwer,2
19445504,Reigersbosch,57,1989,2870,Buizerd,1
19445504,Reigersbosch,57,1989,3940,Fazant,1
19445504,Reigersbosch,57,1989,6680,Holenduif,1
19445504,Reigersbosch,57,1989,7610,Bosuil,1
19445504,Reigersbosch,57,1989,7670,Ransuil,6
19445504,Reigersbosch,57,1989,8630,Zwarte Specht,1
19445504,Reigersbosch,57,1989,8760,Grote Bonte Specht,16
19445504,Reigersbosch,57,1989,10090,Boompieper,1
19445504,Reigersbosch,57,1989,10201,Witte Kwikstaart,1
19445504,Reigersbosch,57,1989,10660,Winterkoning,-1
19445504,Reigersbosch,57,1989,10840,Heggemus,-1
19445504,Reigersbosch,57,1989,10990,Roodborst,-1
19445504,Reigersbosch,57,1989,11870,Merel,-1
19445504,Reigersbosch,57,1989,12000,Zanglijster,-1
19445504,Reigersbosch,57,1989,12020,Grote Lijster,1
19445504,Reigersbosch,57,1989,12760,Tuinfluiter,-1
19445504,Reigersbosch,57,1989,12770,Zwartkop,-1
