VARNR,VARIABELE,WAARDE,OMSCHRIJVI,REKENWAARD
15,Kolonievogel,x,vrijwel altijd,1.0
16,Ter-gem,1,< 2 ha,1.0
16,Ter-gem,1?,< 2 ha ?,1.0
16,Ter-gem,2,2 - 5 ha,3.2
16,Ter-gem,2?,2 - 5 ha ?,3.2
16,Ter-gem,3,5 - 25 ha,11.2
16,Ter-gem,3?,5 - 25 ha ?,11.2
16,Ter-gem,4,25 - 100 ha,50.0
16,Ter-gem,4?,25 - 100 ha ?,50.0
16,Ter-gem,5,100 - 1000 ha,316.0
16,Ter-gem,5?,100 - 1000 ha ?,316.0
16,Ter-gem,6,> 1000 ha,1000.0
16,Ter-gem,6?,> 1000 ha ?,1000.0
16,Ter-gem,?,?,0.0
17,Ter-min,1,< 2 ha,0.25
17,Ter-min,1?,< 2 ha ?,0.25
17,Ter-min,2,2 - 5 ha,2.0
17,Ter-min,2?,2 - 5 ha ?,2.0
17,Ter-min,3,5 - 25 ha,5.0
17,Ter-min,3?,5 - 25 ha ?,5.0
17,Ter-min,4,25 - 100 ha,25.0
17,Ter-min,4?,25 - 100 ha ?,25.0
17,Ter-min,5,100 - 1000 ha,100.0
17,Ter-min,6,> 1000 ha,1000.0
18,Ter-max,2,2 - 5 ha,0.0
18,Ter-max,2?,2 - 5 ha ?,0.0
18,Ter-max,3,5 - 25 ha,0.0
18,Ter-max,3?,5 - 25 ha ?,0.0
18,Ter-max,4,25 - 100 ha,0.0
18,Ter-max,4?,25 - 100 ha ?,0.0
18,Ter-max,5,100 - 1000 ha,0.0
18,Ter-max,5?,100 - 1000 ha ?,0.0
18,Ter-max,6,> 1000 ha,0.0
18,Ter-max,6?,> 1000 ha ?,0.0
19,Bodem1,1,klei,0.0
19,Bodem1,2,(hoog)veen,0.0
19,Bodem1,3,zand,0.0
19,Bodem1,x,indifferent,0.0
20,Bodem2,1,klei,0.0
20,Bodem2,2,(hoog)veen,0.0
20,Bodem2,3,zand,0.0
20,Bodem2,x,indifferent,0.0
21,Vocht-opt,1,open water,0.0
21,Vocht-opt,2,nat (ca. grondwatertrap 1-2a),0.0
21,Vocht-opt,3,vochtig (ca. grondwatertrap 2b-3),0.0
21,Vocht-opt,4,droog (ca. grondwatertrap >=4),0.0
21,Vocht-opt,4?,droog (ca. grondwatertrap >=4) ?,0.0
21,Vocht-opt,x,indifferent,0.0
21,Vocht-opt,x?,indifferent ?,0.0
22,Vocht-min,1,open water,0.0
22,Vocht-min,2,nat (ca. grondwatertrap 1-2a),0.0
22,Vocht-min,2?,nat (ca. grondwatertrap 1-2a) ?,0.0
22,Vocht-min,3,vochtig (ca. grondwatertrap 2b-3),0.0
22,Vocht-min,3?,vochtig (ca. grondwatertrap 2b-3) ?,0.0
22,Vocht-min,4,droog (ca. grondwatertrap >=4),0.0
22,Vocht-min,x,indifferent,0.0
23,Vocht-max,1,open water,0.0
23,Vocht-max,2,nat (ca. grondwatertrap 1-2a),0.0
23,Vocht-max,3,vochtig (ca. grondwatertrap 2b-3),0.0
23,Vocht-max,4,droog (ca. grondwatertrap >=4),0.0
23,Vocht-max,x,indifferent,0.0
23,Vocht-max,x?,indifferent ?,0.0
24,Zuur-opt,1,zuur (PH<4.5),0.0
24,Zuur-opt,1?,zuur (PH<4.5) ?,0.0
24,Zuur-opt,2,zwak zuur (PH 4.5-7),0.0
24,Zuur-opt,2?,zwak zuur (PH 4.5-7) ?,0.0
24,Zuur-opt,3,basisch (PH>7),0.0
24,Zuur-opt,3?,basisch (PH>7) ?,0.0
24,Zuur-opt,x,indifferent,0.0
24,Zuur-opt,x?,indifferent ?,0.0
25,Zuur-min,1,zuur (PH<4.5),0.0
25,Zuur-min,1?,zuur (PH<4.5) ?,0.0
25,Zuur-min,2,zwak zuur (PH 4.5-7),0.0
25,Zuur-min,2?,zwak zuur (PH 4.5-7) ?,0.0
25,Zuur-min,3,basisch (PH>7),0.0
25,Zuur-min,3?,basisch (PH>7) ?,0.0
25,Zuur-min,x,indifferent,0.0
26,Zuur-max,1?,zuur (PH<4.5) ?,0.0
26,Zuur-max,3,basisch (PH>7),0.0
26,Zuur-max,3?,basisch (PH>7) ?,0.0
26,Zuur-max,x,indifferent,0.0
27,Voedselrijk-opt,1,indifferent,0.0
27,Voedselrijk-opt,2,matig voedselrijk,0.0
27,Voedselrijk-opt,2?,matig voedselrijk ?,0.0
27,Voedselrijk-opt,3,voedselrijk,0.0
27,Voedselrijk-opt,3?,voedselrijk ?,0.0
27,Voedselrijk-opt,x,indifferent,0.0
27,Voedselrijk-opt,x?,indifferent ?,0.0
28,Voedselrijk-min,1,voedselarm,0.0
28,Voedselrijk-min,1?,voedselarm ?,0.0
28,Voedselrijk-min,2,matig voedselrijk,0.0
28,Voedselrijk-min,2?,matig voedselrijk ?,0.0
28,Voedselrijk-min,3,voedselrijk,0.0
28,Voedselrijk-min,3?,voedselrijk ?,0.0
28,Voedselrijk-min,x,indifferent,0.0
29,Voedselrijk-max,2,matig voedselrijk,0.0
29,Voedselrijk-max,3,voedselrijk,0.0
29,Voedselrijk-max,x,indifferent,0.0
30,Zout-opt,1,zoet,0.0
30,Zout-opt,1?,zoet ?,0.0
30,Zout-opt,3,brak,0.0
30,Zout-opt,4,sterk brak,0.0
30,Zout-opt,5,zout,0.0
30,Zout-opt,?,?,0.0
30,Zout-opt,x,indifferent,0.0
30,Zout-opt,x?,indifferent ?,0.0
31,Zout-min,1,zoet,0.0
31,Zout-min,1?,zoet ?,0.0
31,Zout-min,2,zwak brak,0.0
