SDT_CODE0,SUBNHL,OMSCHRIJVI,ECOGROEP,GROEPNAAM,HABITAT,STATUS,ONDERGRENS,REFERENTIE
06.03,6.3,"Droge, open heide",401,Korhoen-groep,"open, structuurrrijke heide en hoogveen grenzend aan cultuur",Facultatief,0.0,1.57
06.03,6.3,"Droge, open heide",402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Standaard,1.08,3.24
06.03,6.3,"Droge, open heide",602,Roodborsttapuit-groep,"lage struwelen en heggen, hoge ruigten (heide, stuifzand en",Standaard,4.546,13.64
06.03,6.3,"Droge, open heide",702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Facultatief,0.0,12.8
06.04,6.4,Stuifzanden,304,Tapuit-groep,"open zandige plekken en zeer korte, schrale vegetaties (heid",Standaard,6.818,20.45
06.04,6.4,Stuifzanden,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,12.66,37.98
06.05,6.5,Heide met struweel en bos,401,Korhoen-groep,"open, structuurrrijke heide en hoogveen grenzend aan cultuur",Facultatief,0.0,1.04
06.05,6.5,Heide met struweel en bos,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Standaard,0.376,1.13
06.05,6.5,Heide met struweel en bos,602,Roodborsttapuit-groep,"lage struwelen en heggen, hoge ruigten (heide, stuifzand en",Standaard,3.932,11.8
06.05,6.5,Heide met struweel en bos,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,5.652,16.96
06.05,6.5,Heide met struweel en bos,812,Holenbroeders,"oud bos, dode bomen",Facultatief,0.0,19.49
06.06,6.6,Overige heiden,401,Korhoen-groep,"open, structuurrrijke heide en hoogveen grenzend aan cultuur",Facultatief,0.0,0.0
06.06,6.6,Overige heiden,402,Wulp-groep,"open heide, al dan niet grenzend aan cultuurland",Standaard,0.0,0.0
06.06,6.6,Overige heiden,602,Roodborsttapuit-groep,"lage struwelen en heggen, hoge ruigten (heide, stuifzand en",Standaard,0.0,0.0
06.06,6.6,Overige heiden,702,Geelgors-groep,"open bos, bosranden, boomgroepen met kale, zandige bodem",Standaard,0.0,0.0
07.01,7.1,Jonge verlanding,101,Dodaars-groep,voedselarm-matig voedselrijk open water,Standaard,1.905,5.71
