LANDSCHAP,EURING,DREMPEL,CODE
2240,12740,0,K
2240,12750,0,K
2240,12760,0,K
2240,13110,0,K
2240,13120,0,K
2240,14370,0,K
2240,14420,0,K
2240,15150,0,K
2240,15200,0,K
2240,15230,0,K
2240,15490,0,K
2240,15600,0,K
2240,16400,0,K
2240,16490,0,K
2240,16530,0,K
2240,16600,0,K
2240,16630,0,K
2240,17100,0,K
2240,18570,0,K
2250, 1730,0,K
2250, 2060,0,K
2250, 2610,0,K
2250, 3100,0,K
2250, 3670,0,K
2250, 3940,0,K
2250, 4500,0,K
2250, 4590,0,K
2250, 5410,0,K
2250, 5750,0,K
2250, 5900,0,K
2250, 5910,0,K
2250, 5920,0,K
2250, 6150,0,K
2250, 6680,0,K
2250, 7240,0,K
2250, 7680,0,K
2250, 7780,0,K
2250, 8480,0,K
2250, 9740,0,K
2250, 9760,0,K
2250,10090,0,K
2250,10110,0,K
2250,10840,0,K
2250,11040,0,K
2250,11370,0,K
2250,11390,0,K
2250,11460,0,K
2250,12360,0,K
2250,12740,0,K
2250,12750,0,K
2250,13120,0,K
2250,15150,0,K
2250,15490,0,K
2250,15600,0,K
2250,16600,0,K
2250,16630,0,K
2250,18570,0,K
2300,   70,0,K
2300,  120,0,K
2300, 1730,0,K
2300, 1840,0,K
2300, 2060,0,K
2300, 2600,0,K
2300, 2610,0,K
2300, 2630,0,K
2300, 3100,0,K
2300, 3670,0,K
2300, 3940,0,K
2300, 4070,0,K
2300, 4500,0,K
2300, 4930,0,K
2300, 5190,0,K
2300, 5320,0,K
2300, 5410,0,K
2300, 5750,0,K
2300, 5820,0,K
2300, 5900,0,K
2300, 5910,0,K
2300, 5920,0,K
2300, 6150,0,K
2300, 6680,0,K
2300, 7240,0,K
2300, 7680,0,K
2300, 7780,0,K
2300, 9740,0,K
2300, 9760,0,K
2300,10090,0,K
2300,10110,0,K
2300,10840,0,K
2300,11040,0,K
2300,11370,0,K
2300,11390,0,K
2300,11460,0,K
2300,12360,0,K
2300,12740,0,K
2300,12750,0,K
2300,13120,0,K
2300,15150,0,K
2300,15490,0,K
2300,15600,0,K
2300,16600,0,K
2300,16630,0,K
2300,16790,0,K
2300,18570,0,K
2310,   70,0,K
2310,  120,0,K
2310, 1730,0,K
2310, 1840,0,K
2310, 2060,0,K
2310, 2600,0,K
2310, 2610,0,K
2310, 2630,0,K
2310, 3100,0,K
2310, 3670,0,K
2310, 3940,0,K
2310, 4070,0,K
2310, 4500,0,K
2310, 4930,0,K
2310, 5190,0,K
2310, 5320,0,K
2310, 5410,0,K
2310, 5750,0,K
2310, 5820,0,K
2310, 5900,0,K
2310, 5910,0,K
2310, 5920,0,K
2310, 6150,0,K
2310, 6680,0,K
2310, 7240,0,K
2310, 7680,0,K
2310, 7780,0,K
2310, 9740,0,K
2310, 9760,0,K
2310,10090,0,K
2310,10110,0,K
2310,10840,0,K
2310,11040,0,K
2310,11370,0,K
2310,11390,0,K
2310,11460,0,K
2310,12360,0,K
2310,12740,0,K
2310,12750,0,K
2310,13120,0,K
2310,15150,0,K
2310,15490,0,K
2310,15600,0,K
2310,16600,0,K
2310,16630,0,K
2310,16790,0,K
2310,18570,0,K
2320,   70,0,K
2320,  120,0,K
2320, 1730,0,K
2320, 1840,0,K
2320, 2060,0,K
2320, 2600,0,K
2320, 2610,0,K
2320, 2630,0,K
2320, 3100,0,K
2320, 3670,0,K
2320, 3940,0,K
2320, 4070,0,K
2320, 4500,0,K
2320, 4930,0,K
2320, 5190,0,K
2320, 5320,0,K
2320, 5410,0,K
2320, 5750,0,K
2320, 5820,0,K
2320, 5900,0,K
2320, 5910,0,K
2320, 5920,0,K
2320, 6150,0,K
2320, 6680,0,K
2320, 7240,0,K
2320, 7680,0,K
2320, 7780,0,K
2320, 9740,0,K
2320, 9760,0,K
2320,10090,0,K
2320,10110,0,K
2320,10840,0,K
2320,11040,0,K
2320,11370,0,K
2320,11390,0,K
2320,11460,0,K
2320,12360,0,K
2320,12740,0,K
2320,12750,0,K
2320,13120,0,K
2320,15150,0,K
2320,15490,0,K
2320,15600,0,K
2320,16600,0,K
2320,16630,0,K
2320,16790,0,K
2320,18570,0,K
2330,   70,0,K
2330,  120,0,K
2330, 1730,0,K
2330, 1840,0,K
2330, 2060,0,K
2330, 2600,0,K
2330, 2610,0,K
2330, 2630,0,K
2330, 3100,0,K
2330, 3670,0,K
2330, 3940,0,K
2330, 4070,0,K
2330, 4500,0,K
2330, 4930,0,K
2330, 5190,0,K
2330, 5320,0,K
2330, 5410,0,K
2330, 5750,0,K
2330, 5820,0,K
2330, 5900,0,K
2330, 5910,0,K
2330, 5920,0,K
2330, 6150,0,K
2330, 6680,0,K
2330, 7240,0,K
2330, 7680,0,K
2330, 7780,0,K
2330, 9740,0,K
2330, 9760,0,K
2330,10090,0,K
2330,10110,0,K
2330,10840,0,K
2330,11040,0,K
2330,11370,0,K
2330,11390,0,K
2330,11460,0,K
2330,12360,0,K
2330,12740,0,K
2330,12750,0,K
2330,13120,0,K
2330,15150,0,K
2330,15490,0,K
2330,15600,0,K
2330,16600,0,K
2330,16630,0,K
2330,16790,0,K
2330,18570,0,K
2340,   70,0,K
2340,  120,0,K
2340, 1730,0,K
2340, 1840,0,K
2340, 2060,0,K
2340, 2600,0,K
2340, 2610,0,K
2340, 2630,0,K
2340, 3100,0,K
2340, 3670,0,K
2340, 3940,0,K
2340, 4070,0,K
2340, 4500,0,K
2340, 4930,0,K
2340, 5190,0,K
2340, 5320,0,K
2340, 5410,0,K
2340, 5750,0,K
2340, 5820,0,K
2340, 5900,0,K
2340, 5910,0,K
2340, 5920,0,K
2340, 6150,0,K
2340, 6680,0,K
2340, 7240,0,K
2340, 7680,0,K
2340, 7780,0,K
2340, 9740,0,K
2340, 9760,0,K
2340,10090,0,K
2340,10110,0,K
2340,10840,0,K
2340,11040,0,K
2340,11370,0,K
2340,11390,0,K
2340,11460,0,K
2340,12360,0,K
2340,12740,0,K
2340,12750,0,K
2340,13120,0,K
2340,15150,0,K
2340,15490,0,K
2340,15600,0,K
2340,16600,0,K
2340,16630,0,K
2340,16790,0,K
2340,18570,0,K
2350,   70,0,K
2350,  120,0,K
2350, 1730,0,K
2350, 1840,0,K
2350, 2060,0,K
2350, 2600,0,K
2350, 2610,0,K
2350, 2630,0,K
2350, 3100,0,K
2350, 3670,0,K
2350, 3940,0,K
2350, 4070,0,K
2350, 4500,0,K
2350, 4930,0,K
2350, 5190,0,K
2350, 5320,0,K
2350, 5410,0,K
2350, 5750,0,K
2350, 5820,0,K
2350, 5900,0,K
2350, 5910,0,K
2350, 5920,0,K
2350, 6150,0,K
2350, 6680,0,K
2350, 7240,0,K
2350, 7680,0,K
2350, 7780,0,K
2350, 9740,0,K
2350, 9760,0,K
2350,10090,0,K
2350,10110,0,K
2350,10840,0,K
2350,11040,0,K
2350,11370,0,K
2350,11390,0,K
2350,11460,0,K
2350,12360,0,K
2350,12740,0,K
2350,12750,0,K
2350,13120,0,K
2350,15150,0,K
2350,15490,0,K
2350,15600,0,K
2350,16600,0,K
2350,16630,0,K
2350,16790,0,K
2350,18570,0,K
3000,   70,0,K
3000,  120,0,K
3000, 1840,0,K
3000, 2610,0,K
3000, 2630,0,K
3000, 3100,0,K
3000, 3200,0,K
3000, 3320,0,K
3000, 4070,0,K
3000, 4330,0,K
3000, 4850,0,K
3000, 4930,0,K
3000, 5170,0,K
3000, 5190,0,K
3000, 5320,0,K
3000, 5410,0,K
3000, 5460,0,K
3000, 5530,0,K
3000, 5540,0,K
3000, 5820,0,K
3000, 7240,0,K
3000, 7680,0,K
3000, 7780,0,K
3000, 9760,0,K
3000,10090,0,K
3000,10110,0,K
3000,10171,0,K
3000,11060,0,K
3000,11370,0,K
3000,11390,0,K
3000,12360,0,K
3000,15150,0,K
3000,15200,0,K
3000,16600,0,K
3000,18570,0,K
3000,18770,0,K
3200,   70,0,K
3200,  120,0,K
3200, 1840,0,K
3200, 2610,0,K
3200, 2630,0,K
3200, 3100,0,K
3200, 3200,0,K
3200, 3320,0,K
3200, 4070,0,K
3200, 4330,0,K
3200, 4850,0,K
3200, 4930,0,K
3200, 5170,0,K
3200, 5190,0,K
3200, 5320,0,K
3200, 5410,0,K
3200, 5460,0,K
3200, 5530,0,K
3200, 5540,0,K
3200, 5820,0,K
3200, 7240,0,K
3200, 7680,0,K
3200, 7780,0,K
3200, 9760,0,K
3200,10090,0,K
3200,10110,0,K
3200,10171,0,K
