LANDSCHAP,LAND,ECOCODE,DISTRICT,PERIODE,EURING,MEDIAAN,MAX_DICHT,PRESENTIE
1200, NL,,,1990,11060,8,38.7,83
1200, NL,,,1990,11390,1,0.4,33
1200, NL,,,1990,11870,4,3.7,50
1200, NL,,,1990,12360,6,8.1,83
1200, NL,,,1990,12380,3,1.2,50
1200, NL,,,1990,12430,6,12.6,100
1200, NL,,,1990,12500,8,46.8,100
1200, NL,,,1990,12510,8,52.9,100
1200, NL,,,1990,12740,2,0.8,50
1200, NL,,,1990,12750,7,17.1,66
1200, NL,,,1990,12760,6,10.6,83
1200, NL,,,1990,12770,4,2.9,50
1200, NL,,,1990,13110,3,1.2,66
1200, NL,,,1990,13120,8,37.5,83
1200, NL,,,1990,13640,5,5.7,50
1200, NL,,,1990,14900,1,0.4,33
1200, NL,,,1990,15490,3,1.6,66
1200, NL,,,1990,15671,4,2.0,83
1200, NL,,,1990,16490,1,0.4,33
1200, NL,,,1990,16600,6,14.3,83
1200, NL,,,1990,18770,8,59.0,83
1210, NL,,12,1990, 1520,2,1.3,0
1210, NL,,12,1990, 1610,1,0.7,0
1210, NL,,12,1990, 1700,2,1.0,0
1210, NL,,12,1990, 1730,5,4.8,0
1210, NL,,12,1990, 1790,1,0.3,0
1210, NL,,12,1990, 1820,4,2.6,0
1210, NL,,12,1990, 1840,1,0.3,0
1210, NL,,12,1990, 1860,7,22.5,0
1210, NL,,12,1990, 1910,-9,0.0,0
1210, NL,,12,1990, 1940,4,2.6,0
1210, NL,,12,1990, 2030,3,2.3,0
1210, NL,,12,1990, 2210,4,5.1,0
1210, NL,,12,1990, 2600,1,0.8,0
1210, NL,,12,1990, 3040,1,0.6,0
1210, NL,,12,1990, 4240,3,1.9,0
1210, NL,,12,1990, 4500,8,57.9,0
1210, NL,,12,1990, 4560,7,19.3,0
1210, NL,,12,1990, 4700,2,1.0,0
1210, NL,,12,1990, 4930,8,37.9,0
1210, NL,,12,1990, 5120,1,0.3,0
1210, NL,,12,1990, 5170,1,0.3,0
1210, NL,,12,1990, 5320,5,6.8,0
1210, NL,,12,1990, 5460,6,13.5,0
1210, NL,,12,1990, 5750,2,1.3,0
1210, NL,,12,1990, 5820,11,999.9,0
1210, NL,,12,1990, 5900,7,19.3,0
1210, NL,,12,1990, 5910,1,0.6,0
1210, NL,,12,1990, 5920,8,59.5,0
1210, NL,,12,1990, 6110,11,627.0,0
1210, NL,,12,1990, 6150,7,28.9,0
1210, NL,,12,1990, 6680,1,0.3,0
1210, NL,,12,1990, 6700,6,16.7,0
1210, NL,,12,1990, 7240,3,1.6,0
1210, NL,,12,1990, 7670,1,0.3,0
1210, NL,,12,1990, 9760,7,21.7,0
1210, NL,,12,1990,10110,6,12.9,0
1210, NL,,12,1990,10201,1,0.3,0
1210, NL,,12,1990,10660,8,63.0,0
1210, NL,,12,1990,10840,7,19.3,0
1210, NL,,12,1990,11040,4,4.8,0
1210, NL,,12,1990,11060,3,2.3,0
1210, NL,,12,1990,11870,6,23.5,0
1210, NL,,12,1990,12000,4,4.5,0
1210, NL,,12,1990,12360,2,1.0,0
1210, NL,,12,1990,12430,1,0.3,0
1210, NL,,12,1990,12500,5,4.8,0
1210, NL,,12,1990,12510,1,0.6,0
1210, NL,,12,1990,12590,5,5.8,0
1210, NL,,12,1990,12740,5,6.8,0
1210, NL,,12,1990,12750,7,29.6,0
1210, NL,,12,1990,12760,6,10.9,0
1210, NL,,12,1990,12770,3,2.9,0
1210, NL,,12,1990,13110,3,2.9,0
1210, NL,,12,1990,13120,8,56.6,0
1210, NL,,12,1990,15490,4,3.5,0
1210, NL,,12,1990,15671,3,1.6,0
1210, NL,,12,1990,16490,1,0.3,0
1210, NL,,12,1990,16600,6,16.1,0
1210, NL,,12,1990,18770,6,16.7,0
1211, NL,,12,1980, 1520,2,1.3,0
1211, NL,,12,1980, 1730,5,4.8,0
1211, NL,,12,1980, 1820,1,0.6,0
1211, NL,,12,1980, 1840,1,0.3,0
1211, NL,,12,1980, 1860,5,8.0,0
1211, NL,,12,1980, 1890,1,0.3,0
1211, NL,,12,1980, 1940,3,2.3,0
1211, NL,,12,1980, 2030,1,0.6,0
1211, NL,,12,1980, 2210,1,0.3,0
1211, NL,,12,1980, 3040,1,0.6,0
1211, NL,,12,1980, 4240,1,0.3,0
1211, NL,,12,1980, 4500,7,27.3,0
1211, NL,,12,1980, 4560,6,13.2,0
1211, NL,,12,1980, 4700,5,6.8,0
1211, NL,,12,1980, 4770,6,19.3,0
1211, NL,,12,1980, 4930,6,17.7,0
1211, NL,,12,1980, 5170,1,0.3,0
1211, NL,,12,1980, 5320,3,1.9,0
1211, NL,,12,1980, 5460,5,5.8,0
1211, NL,,12,1980, 5820,11,999.9,0
1211, NL,,12,1980, 5900,4,3.2,0
1211, NL,,12,1980, 5920,6,32.2,0
1211, NL,,12,1980, 6110,11,999.9,0
1211, NL,,12,1980, 6150,11,233.1,0
1211, NL,,12,1980, 6160,2,1.0,0
1211, NL,,12,1980, 6240,9,45.0,0
1211, NL,,12,1980, 7240,2,1.0,0
1211, NL,,12,1980, 7680,1,0.3,0
1211, NL,,12,1980, 9760,7,40.2,0
1211, NL,,12,1980,10110,7,41.8,0
1211, NL,,12,1980,10171,1,0.3,0
1211, NL,,12,1980,10201,1,0.3,0
1211, NL,,12,1980,12430,1,0.3,0
1211, NL,,12,1980,16600,5,9.6,0
1211, NL,,12,1980,18770,3,2.6,0
1221, NL,,,1990,   70,1,0.1,16
1221, NL,,,1990,   90,2,1.1,33
1221, NL,,,1990, 1520,1,1.0,33
1221, NL,,,1990, 1590,1,0.1,0
1221, NL,,,1990, 1730,3,3.1,50
1221, NL,,,1990, 1820,4,4.9,100
1221, NL,,,1990, 1860,7,43.1,100
1221, NL,,,1990, 1910,4,2.9,83
1221, NL,,,1990, 1940,5,8.6,100
1221, NL,,,1990, 2030,3,3.5,66
1221, NL,,,1990, 2600,1,0.9,66
1221, NL,,,1990, 3040,1,0.1,33
1221, NL,,,1990, 3940,1,0.9,50
