GROEP,GROEP_NAAM,EURING,NEDERLANDS,VEELEISEND
800,Bosvogels,14640,Koolmees,1
800,Bosvogels,16660,Kruisbek,2
800,Bosvogels,14540,Kuifmees,1
800,Bosvogels,8830,Middelste Bonte Specht,5
800,Bosvogels,7440,Oehoe,4
800,Bosvogels,14620,Pimpelmees,1
800,Bosvogels,15720,Raaf,3
800,Bosvogels,7670,Ransuil,2
800,Bosvogels,15980,Ringmus,2
800,Bosvogels,7700,Ruigpootuil,2
800,Bosvogels,16540,Sijs,2
800,Bosvogels,2690,Sperwer,2
800,Bosvogels,15820,Spreeuw,1
800,Bosvogels,14860,Taigaboomkruiper,2
800,Bosvogels,13110,Tjiftjaf,1
800,Bosvogels,16360,Vink,1
800,Bosvogels,13150,Vuurgoudhaan,2
800,Bosvogels,2310,Wespendief,3
800,Bosvogels,15080,Wielewaal,2
800,Bosvogels,14610,Zwarte Mees,1
800,Bosvogels,8630,Zwarte Specht,2
