LANDSCHAP,EURING,CODE
1130,12020,2
1130,12200,2
1130,12260,2
1130,12360,2
1130,12370,2
1130,12380,2
1130,12420,5
1130,12430,1
1130,12500,1
1130,12510,1
1130,12530,3
1130,12590,2
1130,12600,2
1130,12740,2
1130,12750,2
1130,12760,1
1130,12770,1
1130,13070,2
1130,13080,2
1130,13110,1
1130,13120,1
1130,13140,1
1130,13150,2
1130,13350,2
1130,13430,3
1130,13490,2
1130,13640,3
1130,14370,1
1130,14400,2
1130,14420,1
1130,14540,1
1130,14610,1
1130,14620,1
1130,14640,1
1130,14790,2
1130,14860,2
1130,14870,2
1130,14900,2
1130,15080,2
1130,15150,3
1130,15200,3
1130,15230,5
1130,15390,1
1130,15490,1
1130,15600,2
1130,15630,2
1130,15671,1
1130,15673,1
1130,15720,2
1130,15820,1
1130,15910,1
1130,15980,1
1130,16360,1
1130,16380,1
1130,16400,2
1130,16490,2
1130,16530,2
1130,16540,1
1130,16600,2
1130,16630,2
1130,16660,2
1130,16680,2
1130,16790,2
1130,17100,2
1130,17170,2
1130,18570,2
1130,18660,4
1130,18770,1
1130,18820,4
1140,   70,2
1140,   90,1
1140,  100,2
1140,  120,3
1140,  720,2
1140,  950,3
1140,  980,4
1140, 1040,4
1140, 1190,2
1140, 1210,4
1140, 1220,2
1140, 1240,3
1140, 1310,5
1140, 1340,3
1140, 1440,3
1140, 1520,1
1140, 1590,2
1140, 1610,2
1140, 1620,1
1140, 1660,1
1140, 1670,2
1140, 1700,1
1140, 1710,2
1140, 1730,1
1140, 1780,2
1140, 1790,3
1140, 1820,2
1140, 1840,2
1140, 1860,1
1140, 1890,3
1140, 1910,3
1140, 1940,2
1140, 1960,4
1140, 1980,2
1140, 2030,1
1140, 2060,2
1140, 2180,2
1140, 2210,2
1140, 2250,1
1140, 2310,3
1140, 2380,2
1140, 2390,3
1140, 2430,5
1140, 2600,3
1140, 2610,3
1140, 2630,4
1140, 2670,2
1140, 2690,2
1140, 2870,2
1140, 3010,5
1140, 3040,2
1140, 3100,2
1140, 3200,3
1140, 3320,4
1140, 3580,2
1140, 3670,3
1140, 3700,2
1140, 3940,1
1140, 4070,2
1140, 4080,2
1140, 4100,3
1140, 4110,3
1140, 4210,3
1140, 4240,1
1140, 4290,1
1140, 4330,5
1140, 4500,1
1140, 4560,2
1140, 4590,5
1140, 4690,2
1140, 4700,2
1140, 4770,3
1140, 4820,2
1140, 4850,5
1140, 4930,2
1140, 5120,5
1140, 5170,4
1140, 5190,3
1140, 5200,5
1140, 5290,2
1140, 5320,2
1140, 5410,2
1140, 5460,2
1140, 5530,5
1140, 5540,5
1140, 5560,2
1140, 5750,2
1140, 5780,3
1140, 5820,1
1140, 5900,2
1140, 5910,2
1140, 5920,2
1140, 5927,2
1140, 6000,2
1140, 6050,5
1140, 6110,3
1140, 6150,2
1140, 6160,2
1140, 6240,3
1140, 6260,5
1140, 6270,3
1140, 6680,2
1140, 6700,1
1140, 6840,1
1140, 6870,2
1140, 7120,2
1140, 7240,1
1140, 7350,3
1140, 7440,3
1140, 7570,2
1140, 7610,2
1140, 7670,2
1140, 7680,3
1140, 7700,2
1140, 7780,3
1140, 7950,2
1140, 8310,3
1140, 8400,4
1140, 8410,5
1140, 8460,5
1140, 8480,3
1140, 8560,2
1140, 8630,2
1140, 8760,2
1140, 8830,5
1140, 8870,3
1140, 9720,3
1140, 9740,2
1140, 9760,1
1140, 9810,2
1140, 9920,1
1140,10010,2
1140,10050,3
1140,10090,1
1140,10110,1
1140,10171,2
1140,10190,3
1140,10201,1
1140,10500,5
1140,10660,1
1140,10840,1
1140,10990,1
1140,11030,2
1140,11040,2
1140,11060,2
1140,11210,1
1140,11220,2
1140,11370,3
1140,11390,2
1140,11460,2
1140,11860,2
1140,11870,1
1140,11980,2
1140,12000,2
1140,12020,2
1140,12200,2
1140,12260,2
1140,12360,2
1140,12370,2
1140,12380,2
1140,12420,5
1140,12430,1
1140,12500,1
1140,12510,1
1140,12530,3
1140,12590,2
1140,12600,2
1140,12740,2
1140,12750,2
1140,12760,1
1140,12770,1
1140,13070,2
1140,13080,2
1140,13110,1
1140,13120,1
1140,13140,1
1140,13150,2
1140,13350,2
1140,13430,3
1140,13490,2
1140,13640,3
1140,14370,1
1140,14400,2
1140,14420,1
1140,14540,1
